Rounds per config: 400 (first player alternates every game)

Iters     C         Rollout   Eps       MCTS Win%   Rnd Win%    Draw%     AvgMoves    Avg ms      
----------------------------------------------------------------------------------------------------
500       1.400     20        0.150     99.500      0.500       0.000     12.015      114.388     
500       1.400     60        0.150     99.250      0.750       0.000     13.518      206.610     
500       1.200     20        0.050     99.000      0.750       0.250     11.887      111.138     
500       1.000     40        0.300     98.750      1.250       0.000     13.473      163.148     
500       1.800     40        0.300     98.750      1.250       0.000     12.637      170.800     
500       1.800     60        0.300     98.750      1.250       0.000     12.350      191.273     
500       1.800     20        0.150     98.500      1.500       0.000     12.232      124.427     
500       1.800     40        0.150     98.500      1.500       0.000     12.057      166.202     
500       1.200     60        0.150     98.500      1.500       0.000     12.755      183.305     
1000      1.800     20        0.300     98.500      1.500       0.000     11.690      215.655     
1000      1.800     40        0.300     98.500      1.500       0.000     12.693      318.475     
2000      1.000     40        0.300     98.500      1.250       0.250     12.575      376.392     
4000      1.200     60        0.300     98.500      1.500       0.000     14.682      1010.195    
500       1.200     20        0.150     98.250      1.500       0.250     12.178      112.025     
500       1.400     40        0.150     98.250      1.500       0.250     12.258      161.255     
500       1.200     60        0.300     98.250      1.750       0.000     12.100      168.218     
500       1.800     40        0.050     98.250      1.500       0.250     13.232      182.270     
500       1.200     60        0.050     98.250      1.750       0.000     12.845      189.153     
500       1.800     60        0.150     98.250      1.750       0.000     12.412      194.433     
1000      1.400     40        0.050     98.250      1.750       0.000     11.830      263.110     
1000      1.800     40        0.050     98.250      1.750       0.000     11.840      284.095     
1000      1.800     60        0.300     98.250      1.500       0.250     13.477      397.197     
2000      1.800     60        0.150     98.250      1.500       0.250     12.715      689.375     
2000      1.800     60        0.050     98.250      1.750       0.000     12.887      725.160     
500       1.400     20        0.300     98.000      2.000       0.000     12.160      118.190     
1000      1.200     20        0.050     98.000      2.000       0.000     12.130      195.410     
500       1.400     60        0.300     98.000      2.000       0.000     13.245      200.015     
1000      1.400     60        0.050     98.000      2.000       0.000     12.390      328.257     
2000      1.400     60        0.150     98.000      1.750       0.250     13.610      711.628     
4000      1.200     60        0.150     98.000      2.000       0.000     12.680      770.390     
500       1.800     20        0.300     97.750      2.250       0.000     12.000      122.020     
500       1.800     20        0.050     97.750      2.000       0.250     12.732      129.498     
500       1.400     40        0.300     97.750      2.250       0.000     12.060      154.150     
500       1.000     40        0.050     97.750      2.250       0.000     13.012      158.090     
500       1.000     60        0.050     97.750      2.250       0.000     13.130      180.265     
1000      1.000     20        0.050     97.750      2.250       0.000     12.682      188.923     
1000      1.200     40        0.300     97.750      1.500       0.750     12.977      291.788     
2000      1.800     40        0.050     97.750      2.250       0.000     11.795      542.880     
4000      1.000     60        0.050     97.750      2.000       0.250     13.420      731.140     
4000      1.200     60        0.050     97.750      2.250       0.000     12.742      789.732     
500       1.000     20        0.300     97.500      2.250       0.250     13.030      114.710     
500       1.200     40        0.050     97.500      2.500       0.000     12.533      156.988     
500       1.000     60        0.150     97.500      2.500       0.000     13.205      182.322     
500       1.400     60        0.050     97.500      2.000       0.500     12.578      187.403     
1000      1.200     20        0.300     97.500      2.500       0.000     12.432      203.667     
1000      1.800     20        0.050     97.500      2.250       0.250     11.345      204.020     
1000      1.000     60        0.300     97.500      2.500       0.000     12.715      285.795     
1000      1.200     60        0.150     97.500      2.500       0.000     12.102      295.377     
1000      1.400     40        0.150     97.500      2.250       0.250     13.345      312.870     
1000      1.800     40        0.150     97.500      2.500       0.000     12.992      326.342     
1000      1.800     60        0.150     97.500      2.500       0.000     11.838      331.808     
2000      1.200     20        0.150     97.500      2.500       0.000     13.780      376.938     
2000      1.400     20        0.150     97.500      2.500       0.000     13.035      391.812     
2000      1.800     20        0.300     97.500      2.500       0.000     12.268      424.795     
2000      1.800     20        0.050     97.500      2.500       0.000     12.375      424.995     
2000      1.200     40        0.150     97.500      2.500       0.000     13.525      477.897     
4000      1.200     20        0.050     97.500      2.250       0.250     12.615      491.545     
2000      1.400     40        0.300     97.500      2.500       0.000     12.562      496.288     
4000      1.000     40        0.300     97.500      2.250       0.250     12.745      584.217     
4000      1.000     60        0.150     97.500      2.500       0.000     13.588      748.817     
500       1.200     20        0.300     97.250      2.750       0.000     12.707      120.815     
500       1.200     40        0.300     97.250      2.500       0.250     12.075      150.023     
500       1.400     40        0.050     97.250      2.250       0.500     12.408      161.550     
500       1.000     60        0.300     97.250      2.250       0.500     12.557      170.300     
500       1.800     60        0.050     97.250      2.500       0.250     11.893      183.673     
1000      1.800     20        0.150     97.250      2.750       0.000     11.255      209.732     
1000      1.000     40        0.150     97.250      2.750       0.000     12.305      232.735     
1000      1.200     40        0.050     97.250      2.750       0.000     12.963      277.255     
