Game 1 | P1: 29 | P2: 29 | Moves: 200 | Time(ms): 4872
Game 2 | P1: 6 | P2: 47 | Moves: 50 | Time(ms): 1070
Game 3 | P1: 36 | P2: 32 | Moves: 15 | Time(ms): 282
Game 4 | P1: 42 | P2: 24 | Moves: 27 | Time(ms): 668
Game 5 | P1: 28 | P2: 38 | Moves: 24 | Time(ms): 522
Game 6 | P1: 28 | P2: 42 | Moves: 38 | Time(ms): 924
Game 7 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 131
Game 8 | P1: 22 | P2: 41 | Moves: 30 | Time(ms): 633
Game 9 | P1: 54 | P2: 9 | Moves: 9 | Time(ms): 190
Game 10 | P1: 34 | P2: 29 | Moves: 114 | Time(ms): 2761
Game 11 | P1: 6 | P2: 52 | Moves: 12 | Time(ms): 259
Game 12 | P1: 47 | P2: 20 | Moves: 19 | Time(ms): 417
Game 13 | P1: 32 | P2: 23 | Moves: 200 | Time(ms): 4988
Game 14 | P1: 43 | P2: 19 | Moves: 191 | Time(ms): 4531
Game 15 | P1: 43 | P2: 19 | Moves: 13 | Time(ms): 275
Game 16 | P1: 44 | P2: 20 | Moves: 9 | Time(ms): 189
Game 17 | P1: 51 | P2: 4 | Moves: 7 | Time(ms): 154
Game 18 | P1: 22 | P2: 46 | Moves: 18 | Time(ms): 329
Game 19 | P1: 43 | P2: 23 | Moves: 21 | Time(ms): 486
Game 20 | P1: 47 | P2: 6 | Moves: 7 | Time(ms): 170
Game 21 | P1: 58 | P2: 4 | Moves: 9 | Time(ms): 184
Game 22 | P1: 35 | P2: 34 | Moves: 9 | Time(ms): 180
Game 23 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 133
Game 24 | P1: 55 | P2: 7 | Moves: 11 | Time(ms): 213
Game 25 | P1: 7 | P2: 57 | Moves: 18 | Time(ms): 382
Game 26 | P1: 35 | P2: 24 | Moves: 200 | Time(ms): 4419
Game 27 | P1: 32 | P2: 28 | Moves: 7 | Time(ms): 167
Game 28 | P1: 54 | P2: 10 | Moves: 15 | Time(ms): 296
Game 29 | P1: 15 | P2: 44 | Moves: 8 | Time(ms): 197
Game 30 | P1: 14 | P2: 54 | Moves: 14 | Time(ms): 248
Game 31 | P1: 41 | P2: 9 | Moves: 7 | Time(ms): 141
Game 32 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 127
Game 33 | P1: 58 | P2: 4 | Moves: 9 | Time(ms): 192
Game 34 | P1: 21 | P2: 42 | Moves: 10 | Time(ms): 195
Game 35 | P1: 43 | P2: 14 | Moves: 25 | Time(ms): 520
Game 36 | P1: 28 | P2: 32 | Moves: 200 | Time(ms): 4986
Game 37 | P1: 58 | P2: 4 | Moves: 9 | Time(ms): 182
Game 38 | P1: 29 | P2: 38 | Moves: 12 | Time(ms): 218
Game 39 | P1: 28 | P2: 36 | Moves: 200 | Time(ms): 4026
Game 40 | P1: 23 | P2: 38 | Moves: 11 | Time(ms): 251
Game 41 | P1: 27 | P2: 43 | Moves: 30 | Time(ms): 710
Game 42 | P1: 47 | P2: 8 | Moves: 7 | Time(ms): 160
Game 43 | P1: 35 | P2: 29 | Moves: 200 | Time(ms): 4275
Game 44 | P1: 14 | P2: 41 | Moves: 10 | Time(ms): 214
Game 45 | P1: 16 | P2: 46 | Moves: 10 | Time(ms): 211
Game 46 | P1: 40 | P2: 15 | Moves: 10 | Time(ms): 240
Game 47 | P1: 25 | P2: 41 | Moves: 26 | Time(ms): 534
