Game 1 | P1: 10 | P2: 47 | Moves: 10 | Time(ms): 624
Game 2 | P1: 12 | P2: 51 | Moves: 8 | Time(ms): 526
Game 3 | P1: 41 | P2: 21 | Moves: 13 | Time(ms): 988
Game 4 | P1: 41 | P2: 16 | Moves: 13 | Time(ms): 799
Game 5 | P1: 60 | P2: 10 | Moves: 5 | Time(ms): 257
Game 6 | P1: 58 | P2: 12 | Moves: 9 | Time(ms): 360
Game 7 | P1: 35 | P2: 29 | Moves: 200 | Time(ms): 13950
Game 8 | P1: 41 | P2: 16 | Moves: 13 | Time(ms): 982
Game 9 | P1: 41 | P2: 8 | Moves: 7 | Time(ms): 312
Game 10 | P1: 41 | P2: 8 | Moves: 7 | Time(ms): 516
Game 11 | P1: 41 | P2: 23 | Moves: 17 | Time(ms): 1292
Game 12 | P1: 60 | P2: 10 | Moves: 5 | Time(ms): 326
Game 13 | P1: 54 | P2: 12 | Moves: 9 | Time(ms): 471
Game 14 | P1: 60 | P2: 10 | Moves: 5 | Time(ms): 209
Game 15 | P1: 27 | P2: 31 | Moves: 8 | Time(ms): 360
Game 16 | P1: 40 | P2: 24 | Moves: 200 | Time(ms): 12130
Game 17 | P1: 41 | P2: 8 | Moves: 7 | Time(ms): 294
Game 18 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 330
Game 19 | P1: 54 | P2: 12 | Moves: 9 | Time(ms): 327
Game 20 | P1: 54 | P2: 12 | Moves: 9 | Time(ms): 323
Game 21 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 312
Game 22 | P1: 40 | P2: 26 | Moves: 21 | Time(ms): 1140
Game 23 | P1: 3 | P2: 54 | Moves: 8 | Time(ms): 653
Game 24 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 306
Game 25 | P1: 40 | P2: 28 | Moves: 43 | Time(ms): 2701
Game 26 | P1: 6 | P2: 42 | Moves: 14 | Time(ms): 616
Game 27 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 302
Game 28 | P1: 58 | P2: 12 | Moves: 9 | Time(ms): 350
Game 29 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 327
Game 30 | P1: 54 | P2: 12 | Moves: 9 | Time(ms): 339
Game 31 | P1: 10 | P2: 47 | Moves: 10 | Time(ms): 596
Game 32 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 365
Game 33 | P1: 35 | P2: 28 | Moves: 8 | Time(ms): 330
Game 34 | P1: 44 | P2: 14 | Moves: 27 | Time(ms): 1861
Game 35 | P1: 46 | P2: 19 | Moves: 15 | Time(ms): 698
Game 36 | P1: 35 | P2: 28 | Moves: 8 | Time(ms): 336
Game 37 | P1: 42 | P2: 22 | Moves: 41 | Time(ms): 2508
Game 38 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 391
Game 39 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 307
Game 40 | P1: 35 | P2: 28 | Moves: 8 | Time(ms): 327
Game 41 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 321
Game 42 | P1: 40 | P2: 26 | Moves: 21 | Time(ms): 1099
Game 43 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 320
Game 44 | P1: 25 | P2: 38 | Moves: 10 | Time(ms): 579
Game 45 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 319
Game 46 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 327
Game 47 | P1: 35 | P2: 28 | Moves: 8 | Time(ms): 333
Game 48 | P1: 36 | P2: 34 | Moves: 89 | Time(ms): 7570
Game 49 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 380
Game 50 | P1: 41 | P2: 8 | Moves: 7 | Time(ms): 292
Game 51 | P1: 60 | P2: 10 | Moves: 5 | Time(ms): 212
Game 52 | P1: 60 | P2: 10 | Moves: 5 | Time(ms): 203
Game 53 | P1: 15 | P2: 44 | Moves: 8 | Time(ms): 652
Game 54 | P1: 32 | P2: 36 | Moves: 16 | Time(ms): 944
Game 55 | P1: 41 | P2: 8 | Moves: 7 | Time(ms): 327
Game 56 | P1: 41 | P2: 20 | Moves: 21 | Time(ms): 717
Game 57 | P1: 15 | P2: 46 | Moves: 12 | Time(ms): 723
Game 58 | P1: 15 | P2: 44 | Moves: 8 | Time(ms): 631
Game 59 | P1: 43 | P2: 18 | Moves: 19 | Time(ms): 1310
Game 60 | P1: 37 | P2: 31 | Moves: 22 | Time(ms): 1133
Game 61 | P1: 54 | P2: 12 | Moves: 9 | Time(ms): 348
Game 62 | P1: 41 | P2: 19 | Moves: 39 | Time(ms): 2994
Game 63 | P1: 45 | P2: 20 | Moves: 19 | Time(ms): 672
Game 64 | P1: 41 | P2: 8 | Moves: 7 | Time(ms): 298
Game 65 | P1: 52 | P2: 6 | Moves: 11 | Time(ms): 559
Game 66 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 310
Game 67 | P1: 41 | P2: 21 | Moves: 19 | Time(ms): 1261
Game 68 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 297
Game 69 | P1: 40 | P2: 27 | Moves: 200 | Time(ms): 16392
Game 70 | P1: 46 | P2: 24 | Moves: 41 | Time(ms): 3185
Game 71 | P1: 41 | P2: 21 | Moves: 13 | Time(ms): 1006
Game 72 | P1: 35 | P2: 28 | Moves: 8 | Time(ms): 309
Game 73 | P1: 15 | P2: 46 | Moves: 12 | Time(ms): 775
Game 74 | P1: 54 | P2: 12 | Moves: 9 | Time(ms): 349
Game 75 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 326
Game 76 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 299
Game 77 | P1: 39 | P2: 22 | Moves: 200 | Time(ms): 10501
Game 78 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 296
Game 79 | P1: 41 | P2: 8 | Moves: 7 | Time(ms): 302
Game 80 | P1: 45 | P2: 22 | Moves: 25 | Time(ms): 1195
Game 81 | P1: 46 | P2: 24 | Moves: 17 | Time(ms): 790
Game 82 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 311
Game 83 | P1: 41 | P2: 8 | Moves: 7 | Time(ms): 294
Game 84 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 314
Game 85 | P1: 24 | P2: 40 | Moves: 13 | Time(ms): 715
Game 86 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 310
Game 87 | P1: 51 | P2: 19 | Moves: 9 | Time(ms): 564
Game 88 | P1: 44 | P2: 19 | Moves: 13 | Time(ms): 658
Game 89 | P1: 40 | P2: 25 | Moves: 21 | Time(ms): 1108
Game 90 | P1: 42 | P2: 21 | Moves: 39 | Time(ms): 2699
Game 91 | P1: 54 | P2: 12 | Moves: 9 | Time(ms): 355
Game 92 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 311
Game 93 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 338
Game 94 | P1: 15 | P2: 46 | Moves: 12 | Time(ms): 770
Game 95 | P1: 60 | P2: 10 | Moves: 5 | Time(ms): 189
Game 96 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 299
Game 97 | P1: 58 | P2: 12 | Moves: 9 | Time(ms): 387
Game 98 | P1: 60 | P2: 10 | Moves: 5 | Time(ms): 195
Game 99 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 300
Game 100 | P1: 18 | P2: 47 | Moves: 12 | Time(ms): 674
Game 101 | P1: 26 | P2: 44 | Moves: 198 | Time(ms): 13778
Game 102 | P1: 46 | P2: 24 | Moves: 17 | Time(ms): 818
Game 103 | P1: 54 | P2: 12 | Moves: 9 | Time(ms): 337
Game 104 | P1: 25 | P2: 38 | Moves: 10 | Time(ms): 550
Game 105 | P1: 54 | P2: 12 | Moves: 9 | Time(ms): 324
Game 106 | P1: 48 | P2: 12 | Moves: 15 | Time(ms): 629
Game 107 | P1: 35 | P2: 28 | Moves: 8 | Time(ms): 329
Game 108 | P1: 35 | P2: 35 | Moves: 200 | Time(ms): 8071
Game 109 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 337
Game 110 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 314
Game 111 | P1: 60 | P2: 10 | Moves: 5 | Time(ms): 203
Game 112 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 369
Game 113 | P1: 46 | P2: 17 | Moves: 29 | Time(ms): 1369
Game 114 | P1: 10 | P2: 47 | Moves: 10 | Time(ms): 615
Game 115 | P1: 31 | P2: 39 | Moves: 106 | Time(ms): 7292
Game 116 | P1: 58 | P2: 12 | Moves: 9 | Time(ms): 370
Game 117 | P1: 58 | P2: 12 | Moves: 9 | Time(ms): 371
Game 118 | P1: 1 | P2: 41 | Moves: 10 | Time(ms): 733
Game 119 | P1: 60 | P2: 10 | Moves: 5 | Time(ms): 203
Game 120 | P1: 54 | P2: 12 | Moves: 9 | Time(ms): 342
Game 121 | P1: 52 | P2: 15 | Moves: 13 | Time(ms): 550
Game 122 | P1: 24 | P2: 38 | Moves: 13 | Time(ms): 667
Game 123 | P1: 60 | P2: 10 | Moves: 5 | Time(ms): 194
Game 124 | P1: 35 | P2: 28 | Moves: 8 | Time(ms): 311
Game 125 | P1: 58 | P2: 12 | Moves: 9 | Time(ms): 384
Game 126 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 324
Game 127 | P1: 54 | P2: 11 | Moves: 17 | Time(ms): 634
Game 128 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 331
Game 129 | P1: 28 | P2: 40 | Moves: 11 | Time(ms): 399
Game 130 | P1: 31 | P2: 39 | Moves: 44 | Time(ms): 3397
Game 131 | P1: 28 | P2: 40 | Moves: 11 | Time(ms): 380
Game 132 | P1: 7 | P2: 58 | Moves: 18 | Time(ms): 970
Game 133 | P1: 34 | P2: 29 | Moves: 200 | Time(ms): 16727
Game 134 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 324
Game 135 | P1: 60 | P2: 10 | Moves: 5 | Time(ms): 217
Game 136 | P1: 41 | P2: 8 | Moves: 7 | Time(ms): 329
Game 137 | P1: 25 | P2: 35 | Moves: 200 | Time(ms): 17824
Game 138 | P1: 56 | P2: 12 | Moves: 11 | Time(ms): 375
Game 139 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 291
Game 140 | P1: 27 | P2: 31 | Moves: 8 | Time(ms): 335
Game 141 | P1: 45 | P2: 19 | Moves: 21 | Time(ms): 1023
Game 142 | P1: 36 | P2: 34 | Moves: 115 | Time(ms): 11020
Game 143 | P1: 60 | P2: 10 | Moves: 5 | Time(ms): 208
Game 144 | P1: 49 | P2: 18 | Moves: 15 | Time(ms): 1010
Game 145 | P1: 17 | P2: 43 | Moves: 12 | Time(ms): 666
Game 146 | P1: 35 | P2: 32 | Moves: 30 | Time(ms): 2213
Game 147 | P1: 54 | P2: 12 | Moves: 9 | Time(ms): 364
Game 148 | P1: 39 | P2: 31 | Moves: 64 | Time(ms): 4531
Game 149 | P1: 53 | P2: 14 | Moves: 17 | Time(ms): 464
Game 150 | P1: 41 | P2: 21 | Moves: 13 | Time(ms): 986
Game 151 | P1: 60 | P2: 10 | Moves: 5 | Time(ms): 202
Game 152 | P1: 47 | P2: 15 | Moves: 11 | Time(ms): 710
Game 153 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 304
Game 154 | P1: 58 | P2: 12 | Moves: 9 | Time(ms): 377
Game 155 | P1: 41 | P2: 21 | Moves: 13 | Time(ms): 1011
Game 156 | P1: 15 | P2: 44 | Moves: 8 | Time(ms): 656
Game 157 | P1: 3 | P2: 54 | Moves: 8 | Time(ms): 683
Game 158 | P1: 37 | P2: 27 | Moves: 18 | Time(ms): 873
Game 159 | P1: 33 | P2: 30 | Moves: 200 | Time(ms): 15806
Game 160 | P1: 29 | P2: 36 | Moves: 15 | Time(ms): 707
Game 161 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 302
Game 162 | P1: 54 | P2: 12 | Moves: 9 | Time(ms): 329
Game 163 | P1: 17 | P2: 43 | Moves: 12 | Time(ms): 636
Game 164 | P1: 35 | P2: 28 | Moves: 8 | Time(ms): 341
Game 165 | P1: 44 | P2: 25 | Moves: 17 | Time(ms): 973
Game 166 | P1: 41 | P2: 8 | Moves: 7 | Time(ms): 284
Game 167 | P1: 33 | P2: 29 | Moves: 200 | Time(ms): 15751
Game 168 | P1: 44 | P2: 19 | Moves: 29 | Time(ms): 1193
Game 169 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 323
Game 170 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 301
Game 171 | P1: 10 | P2: 47 | Moves: 10 | Time(ms): 603
Game 172 | P1: 58 | P2: 12 | Moves: 9 | Time(ms): 349
Game 173 | P1: 41 | P2: 23 | Moves: 17 | Time(ms): 834
Game 174 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 325
Game 175 | P1: 52 | P2: 6 | Moves: 11 | Time(ms): 530
Game 176 | P1: 41 | P2: 8 | Moves: 7 | Time(ms): 280
Game 177 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 313
Game 178 | P1: 41 | P2: 20 | Moves: 141 | Time(ms): 11701
Game 179 | P1: 41 | P2: 16 | Moves: 13 | Time(ms): 745
Game 180 | P1: 27 | P2: 43 | Moves: 198 | Time(ms): 13885
Game 181 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 312
Game 182 | P1: 54 | P2: 12 | Moves: 9 | Time(ms): 362
Game 183 | P1: 22 | P2: 30 | Moves: 13 | Time(ms): 413
Game 184 | P1: 41 | P2: 16 | Moves: 13 | Time(ms): 994
Game 185 | P1: 4 | P2: 41 | Moves: 16 | Time(ms): 782
Game 186 | P1: 54 | P2: 12 | Moves: 9 | Time(ms): 337
Game 187 | P1: 22 | P2: 45 | Moves: 22 | Time(ms): 1533
Game 188 | P1: 32 | P2: 23 | Moves: 200 | Time(ms): 8777
Game 189 | P1: 46 | P2: 13 | Moves: 15 | Time(ms): 734
Game 190 | P1: 44 | P2: 22 | Moves: 21 | Time(ms): 1027
Game 191 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 305
Game 192 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 302
Game 193 | P1: 54 | P2: 11 | Moves: 17 | Time(ms): 632
Game 194 | P1: 28 | P2: 34 | Moves: 200 | Time(ms): 16435
Game 195 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 324
Game 196 | P1: 54 | P2: 16 | Moves: 7 | Time(ms): 371
Game 197 | P1: 60 | P2: 10 | Moves: 5 | Time(ms): 208
Game 198 | P1: 23 | P2: 34 | Moves: 200 | Time(ms): 15693
Game 199 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 303
Game 200 | P1: 54 | P2: 12 | Moves: 9 | Time(ms): 330
Game 201 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 328
Game 202 | P1: 60 | P2: 10 | Moves: 5 | Time(ms): 219
Game 203 | P1: 60 | P2: 10 | Moves: 5 | Time(ms): 207
Game 204 | P1: 41 | P2: 8 | Moves: 7 | Time(ms): 311
Game 205 | P1: 15 | P2: 44 | Moves: 10 | Time(ms): 655
Game 206 | P1: 41 | P2: 8 | Moves: 7 | Time(ms): 295
Game 207 | P1: 51 | P2: 15 | Moves: 11 | Time(ms): 549
Game 208 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 324
Game 209 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 316
Game 210 | P1: 35 | P2: 29 | Moves: 200 | Time(ms): 13703
Game 211 | P1: 60 | P2: 10 | Moves: 5 | Time(ms): 209
Game 212 | P1: 58 | P2: 12 | Moves: 9 | Time(ms): 341
Game 213 | P1: 1 | P2: 41 | Moves: 10 | Time(ms): 721
Game 214 | P1: 60 | P2: 10 | Moves: 5 | Time(ms): 200
Game 215 | P1: 40 | P2: 25 | Moves: 21 | Time(ms): 1088
Game 216 | P1: 28 | P2: 36 | Moves: 15 | Time(ms): 754
Game 217 | P1: 60 | P2: 10 | Moves: 5 | Time(ms): 203
Game 218 | P1: 41 | P2: 8 | Moves: 7 | Time(ms): 285
Game 219 | P1: 40 | P2: 25 | Moves: 21 | Time(ms): 1067
Game 220 | P1: 40 | P2: 25 | Moves: 21 | Time(ms): 1053
Game 221 | P1: 41 | P2: 29 | Moves: 33 | Time(ms): 2323
Game 222 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 302
Game 223 | P1: 41 | P2: 8 | Moves: 7 | Time(ms): 306
Game 224 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 311
Game 225 | P1: 41 | P2: 8 | Moves: 7 | Time(ms): 290
Game 226 | P1: 52 | P2: 6 | Moves: 11 | Time(ms): 540
Game 227 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 330
Game 228 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 288
Game 229 | P1: 54 | P2: 12 | Moves: 9 | Time(ms): 327
Game 230 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 321
Game 231 | P1: 24 | P2: 46 | Moves: 60 | Time(ms): 4794
Game 232 | P1: 29 | P2: 41 | Moves: 158 | Time(ms): 12656
Game 233 | P1: 25 | P2: 39 | Moves: 200 | Time(ms): 14314
Game 234 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 310
Game 235 | P1: 23 | P2: 47 | Moves: 194 | Time(ms): 15362
Game 236 | P1: 51 | P2: 19 | Moves: 9 | Time(ms): 540
Game 237 | P1: 48 | P2: 14 | Moves: 21 | Time(ms): 1006
Game 238 | P1: 36 | P2: 28 | Moves: 17 | Time(ms): 1011
Game 239 | P1: 60 | P2: 10 | Moves: 5 | Time(ms): 197
Game 240 | P1: 41 | P2: 8 | Moves: 7 | Time(ms): 297
Game 241 | P1: 45 | P2: 16 | Moves: 21 | Time(ms): 613
Game 242 | P1: 17 | P2: 43 | Moves: 12 | Time(ms): 653
Game 243 | P1: 60 | P2: 10 | Moves: 5 | Time(ms): 200
Game 244 | P1: 6 | P2: 41 | Moves: 14 | Time(ms): 660
Game 245 | P1: 41 | P2: 8 | Moves: 7 | Time(ms): 287
