Game 1 | P1: 42 | P2: 22 | Moves: 87 | Time(ms): 872
Game 2 | P1: 6 | P2: 45 | Moves: 12 | Time(ms): 153
Game 3 | P1: 14 | P2: 43 | Moves: 42 | Time(ms): 483
Game 4 | P1: 8 | P2: 54 | Moves: 12 | Time(ms): 121
Game 5 | P1: 14 | P2: 51 | Moves: 16 | Time(ms): 178
Game 6 | P1: 8 | P2: 55 | Moves: 18 | Time(ms): 198
Game 7 | P1: 41 | P2: 4 | Moves: 17 | Time(ms): 204
Game 8 | P1: 25 | P2: 37 | Moves: 10 | Time(ms): 122
Game 9 | P1: 6 | P2: 52 | Moves: 14 | Time(ms): 189
Game 10 | P1: 42 | P2: 18 | Moves: 139 | Time(ms): 1583
Game 11 | P1: 43 | P2: 21 | Moves: 27 | Time(ms): 279
Game 12 | P1: 42 | P2: 18 | Moves: 179 | Time(ms): 2020
Game 13 | P1: 19 | P2: 43 | Moves: 14 | Time(ms): 155
Game 14 | P1: 7 | P2: 55 | Moves: 14 | Time(ms): 161
Game 15 | P1: 12 | P2: 52 | Moves: 14 | Time(ms): 193
Game 16 | P1: 42 | P2: 23 | Moves: 21 | Time(ms): 232
Game 17 | P1: 42 | P2: 25 | Moves: 19 | Time(ms): 207
Game 18 | P1: 26 | P2: 39 | Moves: 48 | Time(ms): 521
Game 19 | P1: 42 | P2: 24 | Moves: 105 | Time(ms): 1293
Game 20 | P1: 30 | P2: 35 | Moves: 19 | Time(ms): 202
Game 21 | P1: 37 | P2: 30 | Moves: 53 | Time(ms): 654
Game 22 | P1: 21 | P2: 43 | Moves: 12 | Time(ms): 138
Game 23 | P1: 38 | P2: 26 | Moves: 83 | Time(ms): 992
Game 24 | P1: 54 | P2: 12 | Moves: 21 | Time(ms): 187
Game 25 | P1: 10 | P2: 50 | Moves: 14 | Time(ms): 188
Game 26 | P1: 41 | P2: 17 | Moves: 53 | Time(ms): 608
Game 27 | P1: 30 | P2: 33 | Moves: 23 | Time(ms): 257
Game 28 | P1: 32 | P2: 32 | Moves: 17 | Time(ms): 197
Game 29 | P1: 21 | P2: 41 | Moves: 24 | Time(ms): 258
Game 30 | P1: 37 | P2: 24 | Moves: 200 | Time(ms): 2216
Game 31 | P1: 32 | P2: 34 | Moves: 25 | Time(ms): 289
Game 32 | P1: 7 | P2: 53 | Moves: 22 | Time(ms): 189
Game 33 | P1: 26 | P2: 38 | Moves: 17 | Time(ms): 174
Game 34 | P1: 45 | P2: 1 | Moves: 13 | Time(ms): 165
Game 35 | P1: 15 | P2: 49 | Moves: 12 | Time(ms): 175
Game 36 | P1: 12 | P2: 41 | Moves: 12 | Time(ms): 170
Game 37 | P1: 25 | P2: 37 | Moves: 10 | Time(ms): 119
Game 38 | P1: 32 | P2: 31 | Moves: 130 | Time(ms): 1646
Game 39 | P1: 5 | P2: 65 | Moves: 14 | Time(ms): 162
Game 40 | P1: 20 | P2: 41 | Moves: 18 | Time(ms): 205
Game 41 | P1: 49 | P2: 13 | Moves: 17 | Time(ms): 163
Game 42 | P1: 33 | P2: 37 | Moves: 186 | Time(ms): 2057
Game 43 | P1: 17 | P2: 42 | Moves: 24 | Time(ms): 236
Game 44 | P1: 9 | P2: 55 | Moves: 18 | Time(ms): 214
Game 45 | P1: 33 | P2: 23 | Moves: 13 | Time(ms): 146
Game 46 | P1: 25 | P2: 37 | Moves: 10 | Time(ms): 114
Game 47 | P1: 25 | P2: 41 | Moves: 16 | Time(ms): 146
Game 48 | P1: 31 | P2: 30 | Moves: 17 | Time(ms): 193
Game 49 | P1: 41 | P2: 21 | Moves: 81 | Time(ms): 893
Game 50 | P1: 44 | P2: 20 | Moves: 53 | Time(ms): 574
Game 51 | P1: 6 | P2: 58 | Moves: 20 | Time(ms): 232
Game 52 | P1: 30 | P2: 37 | Moves: 21 | Time(ms): 247
Game 53 | P1: 50 | P2: 14 | Moves: 21 | Time(ms): 182
Game 54 | P1: 25 | P2: 37 | Moves: 10 | Time(ms): 124
Game 55 | P1: 34 | P2: 30 | Moves: 17 | Time(ms): 184
Game 56 | P1: 9 | P2: 55 | Moves: 18 | Time(ms): 231
Game 57 | P1: 39 | P2: 26 | Moves: 118 | Time(ms): 1400
Game 58 | P1: 38 | P2: 29 | Moves: 99 | Time(ms): 916
Game 59 | P1: 32 | P2: 30 | Moves: 14 | Time(ms): 175
Game 60 | P1: 32 | P2: 33 | Moves: 66 | Time(ms): 837
Game 61 | P1: 45 | P2: 18 | Moves: 115 | Time(ms): 1238
Game 62 | P1: 33 | P2: 37 | Moves: 92 | Time(ms): 1109
Game 63 | P1: 11 | P2: 42 | Moves: 12 | Time(ms): 159
Game 64 | P1: 58 | P2: 1 | Moves: 29 | Time(ms): 269
Game 65 | P1: 37 | P2: 28 | Moves: 22 | Time(ms): 212
Game 66 | P1: 14 | P2: 56 | Moves: 12 | Time(ms): 154
Game 67 | P1: 25 | P2: 37 | Moves: 10 | Time(ms): 119
Game 68 | P1: 32 | P2: 30 | Moves: 22 | Time(ms): 246
Game 69 | P1: 36 | P2: 31 | Moves: 16 | Time(ms): 175
Game 70 | P1: 13 | P2: 48 | Moves: 14 | Time(ms): 168
Game 71 | P1: 29 | P2: 29 | Moves: 13 | Time(ms): 166
Game 72 | P1: 2 | P2: 62 | Moves: 16 | Time(ms): 207
Game 73 | P1: 30 | P2: 35 | Moves: 19 | Time(ms): 223
Game 74 | P1: 29 | P2: 36 | Moves: 96 | Time(ms): 1218
Game 75 | P1: 25 | P2: 35 | Moves: 13 | Time(ms): 157
Game 76 | P1: 44 | P2: 16 | Moves: 89 | Time(ms): 988
Game 77 | P1: 12 | P2: 41 | Moves: 12 | Time(ms): 164
Game 78 | P1: 37 | P2: 33 | Moves: 120 | Time(ms): 1406
Game 79 | P1: 21 | P2: 41 | Moves: 14 | Time(ms): 142
Game 80 | P1: 6 | P2: 43 | Moves: 10 | Time(ms): 121
Game 81 | P1: 41 | P2: 22 | Moves: 157 | Time(ms): 1831
Game 82 | P1: 8 | P2: 46 | Moves: 10 | Time(ms): 130
Game 83 | P1: 36 | P2: 31 | Moves: 16 | Time(ms): 184
Game 84 | P1: 8 | P2: 52 | Moves: 14 | Time(ms): 175
Game 85 | P1: 45 | P2: 19 | Moves: 23 | Time(ms): 245
Game 86 | P1: 26 | P2: 42 | Moves: 48 | Time(ms): 552
Game 87 | P1: 34 | P2: 33 | Moves: 78 | Time(ms): 927
Game 88 | P1: 29 | P2: 36 | Moves: 88 | Time(ms): 1165
Game 89 | P1: 33 | P2: 34 | Moves: 32 | Time(ms): 373
Game 90 | P1: 59 | P2: 1 | Moves: 17 | Time(ms): 189
Game 91 | P1: 6 | P2: 57 | Moves: 18 | Time(ms): 220
Game 92 | P1: 28 | P2: 37 | Moves: 26 | Time(ms): 311
Game 93 | P1: 41 | P2: 17 | Moves: 25 | Time(ms): 273
Game 94 | P1: 60 | P2: 3 | Moves: 21 | Time(ms): 215
Game 95 | P1: 43 | P2: 23 | Moves: 113 | Time(ms): 1391
Game 96 | P1: 42 | P2: 21 | Moves: 21 | Time(ms): 186
Game 97 | P1: 41 | P2: 23 | Moves: 33 | Time(ms): 366
Game 98 | P1: 25 | P2: 37 | Moves: 10 | Time(ms): 117
Game 99 | P1: 25 | P2: 37 | Moves: 10 | Time(ms): 123
Game 100 | P1: 45 | P2: 23 | Moves: 79 | Time(ms): 843
Game 101 | P1: 31 | P2: 29 | Moves: 200 | Time(ms): 2281
Game 102 | P1: 8 | P2: 47 | Moves: 12 | Time(ms): 153
Game 103 | P1: 43 | P2: 18 | Moves: 167 | Time(ms): 1989
Game 104 | P1: 44 | P2: 19 | Moves: 21 | Time(ms): 216
Game 105 | P1: 54 | P2: 14 | Moves: 25 | Time(ms): 220
Game 106 | P1: 11 | P2: 45 | Moves: 16 | Time(ms): 195
Game 107 | P1: 39 | P2: 26 | Moves: 128 | Time(ms): 1558
Game 108 | P1: 12 | P2: 54 | Moves: 22 | Time(ms): 261
Game 109 | P1: 15 | P2: 49 | Moves: 12 | Time(ms): 147
Game 110 | P1: 6 | P2: 55 | Moves: 26 | Time(ms): 249
Game 111 | P1: 25 | P2: 37 | Moves: 10 | Time(ms): 114
Game 112 | P1: 7 | P2: 50 | Moves: 18 | Time(ms): 200
Game 113 | P1: 12 | P2: 47 | Moves: 20 | Time(ms): 223
Game 114 | P1: 58 | P2: 3 | Moves: 15 | Time(ms): 164
Game 115 | P1: 6 | P2: 57 | Moves: 12 | Time(ms): 155
Game 116 | P1: 15 | P2: 43 | Moves: 14 | Time(ms): 164
Game 117 | P1: 40 | P2: 27 | Moves: 53 | Time(ms): 588
Game 118 | P1: 16 | P2: 50 | Moves: 10 | Time(ms): 126
Game 119 | P1: 46 | P2: 20 | Moves: 13 | Time(ms): 157
Game 120 | P1: 27 | P2: 37 | Moves: 17 | Time(ms): 164
Game 121 | P1: 8 | P2: 54 | Moves: 12 | Time(ms): 126
Game 122 | P1: 15 | P2: 49 | Moves: 12 | Time(ms): 154
Game 123 | P1: 8 | P2: 47 | Moves: 14 | Time(ms): 171
Game 124 | P1: 2 | P2: 58 | Moves: 12 | Time(ms): 154
Game 125 | P1: 39 | P2: 2 | Moves: 17 | Time(ms): 172
Game 126 | P1: 7 | P2: 53 | Moves: 14 | Time(ms): 165
Game 127 | P1: 58 | P2: 7 | Moves: 17 | Time(ms): 220
Game 128 | P1: 31 | P2: 33 | Moves: 17 | Time(ms): 166
Game 129 | P1: 22 | P2: 30 | Moves: 11 | Time(ms): 145
Game 130 | P1: 38 | P2: 30 | Moves: 34 | Time(ms): 358
Game 131 | P1: 5 | P2: 55 | Moves: 12 | Time(ms): 152
Game 132 | P1: 44 | P2: 16 | Moves: 17 | Time(ms): 187
Game 133 | P1: 11 | P2: 46 | Moves: 18 | Time(ms): 212
Game 134 | P1: 8 | P2: 46 | Moves: 14 | Time(ms): 173
Game 135 | P1: 32 | P2: 36 | Moves: 60 | Time(ms): 659
Game 136 | P1: 41 | P2: 23 | Moves: 135 | Time(ms): 1570
Game 137 | P1: 35 | P2: 26 | Moves: 19 | Time(ms): 224
Game 138 | P1: 19 | P2: 46 | Moves: 16 | Time(ms): 172
Game 139 | P1: 10 | P2: 49 | Moves: 14 | Time(ms): 174
Game 140 | P1: 5 | P2: 65 | Moves: 14 | Time(ms): 159
Game 141 | P1: 43 | P2: 1 | Moves: 13 | Time(ms): 166
Game 142 | P1: 27 | P2: 24 | Moves: 9 | Time(ms): 128
Game 143 | P1: 39 | P2: 26 | Moves: 194 | Time(ms): 2321
Game 144 | P1: 14 | P2: 43 | Moves: 10 | Time(ms): 130
Game 145 | P1: 32 | P2: 19 | Moves: 13 | Time(ms): 157
Game 146 | P1: 40 | P2: 26 | Moves: 200 | Time(ms): 2217
Game 147 | P1: 58 | P2: 6 | Moves: 21 | Time(ms): 188
Game 148 | P1: 12 | P2: 47 | Moves: 18 | Time(ms): 213
Game 149 | P1: 35 | P2: 32 | Moves: 177 | Time(ms): 2064
Game 150 | P1: 10 | P2: 43 | Moves: 14 | Time(ms): 168
Game 151 | P1: 7 | P2: 52 | Moves: 12 | Time(ms): 155
Game 152 | P1: 6 | P2: 56 | Moves: 8 | Time(ms): 108
Game 153 | P1: 54 | P2: 6 | Moves: 21 | Time(ms): 221
Game 154 | P1: 25 | P2: 37 | Moves: 10 | Time(ms): 117
Game 155 | P1: 5 | P2: 65 | Moves: 14 | Time(ms): 161
Game 156 | P1: 39 | P2: 26 | Moves: 156 | Time(ms): 1872
Game 157 | P1: 45 | P2: 24 | Moves: 69 | Time(ms): 794
Game 158 | P1: 34 | P2: 34 | Moves: 29 | Time(ms): 282
Game 159 | P1: 45 | P2: 1 | Moves: 13 | Time(ms): 157
Game 160 | P1: 25 | P2: 37 | Moves: 10 | Time(ms): 119
Game 161 | P1: 9 | P2: 46 | Moves: 14 | Time(ms): 175
Game 162 | P1: 13 | P2: 46 | Moves: 10 | Time(ms): 137
Game 163 | P1: 10 | P2: 55 | Moves: 12 | Time(ms): 142
Game 164 | P1: 10 | P2: 46 | Moves: 12 | Time(ms): 161
Game 165 | P1: 7 | P2: 60 | Moves: 26 | Time(ms): 279
Game 166 | P1: 58 | P2: 6 | Moves: 21 | Time(ms): 203
Game 167 | P1: 24 | P2: 33 | Moves: 15 | Time(ms): 168
Game 168 | P1: 10 | P2: 46 | Moves: 16 | Time(ms): 208
Game 169 | P1: 6 | P2: 57 | Moves: 12 | Time(ms): 163
Game 170 | P1: 51 | P2: 14 | Moves: 19 | Time(ms): 177
Game 171 | P1: 12 | P2: 41 | Moves: 12 | Time(ms): 158
Game 172 | P1: 8 | P2: 44 | Moves: 10 | Time(ms): 136
Game 173 | P1: 37 | P2: 28 | Moves: 80 | Time(ms): 928
Game 174 | P1: 14 | P2: 43 | Moves: 10 | Time(ms): 130
Game 175 | P1: 47 | P2: 11 | Moves: 19 | Time(ms): 206
Game 176 | P1: 14 | P2: 56 | Moves: 20 | Time(ms): 197
Game 177 | P1: 24 | P2: 41 | Moves: 26 | Time(ms): 315
Game 178 | P1: 7 | P2: 55 | Moves: 20 | Time(ms): 241
Game 179 | P1: 43 | P2: 21 | Moves: 21 | Time(ms): 178
Game 180 | P1: 8 | P2: 54 | Moves: 12 | Time(ms): 124
Game 181 | P1: 43 | P2: 21 | Moves: 51 | Time(ms): 567
Game 182 | P1: 8 | P2: 62 | Moves: 8 | Time(ms): 106
Game 183 | P1: 43 | P2: 21 | Moves: 67 | Time(ms): 778
Game 184 | P1: 22 | P2: 48 | Moves: 100 | Time(ms): 1183
Game 185 | P1: 7 | P2: 45 | Moves: 12 | Time(ms): 158
Game 186 | P1: 35 | P2: 27 | Moves: 13 | Time(ms): 141
Game 187 | P1: 8 | P2: 46 | Moves: 10 | Time(ms): 126
Game 188 | P1: 41 | P2: 26 | Moves: 15 | Time(ms): 145
Game 189 | P1: 12 | P2: 43 | Moves: 12 | Time(ms): 151
Game 190 | P1: 8 | P2: 62 | Moves: 8 | Time(ms): 102
Game 191 | P1: 35 | P2: 30 | Moves: 38 | Time(ms): 433
Game 192 | P1: 22 | P2: 43 | Moves: 20 | Time(ms): 216
Game 193 | P1: 28 | P2: 30 | Moves: 15 | Time(ms): 160
Game 194 | P1: 45 | P2: 16 | Moves: 53 | Time(ms): 470
Game 195 | P1: 15 | P2: 49 | Moves: 12 | Time(ms): 148
Game 196 | P1: 12 | P2: 41 | Moves: 12 | Time(ms): 151
Game 197 | P1: 38 | P2: 27 | Moves: 70 | Time(ms): 844
Game 198 | P1: 39 | P2: 2 | Moves: 17 | Time(ms): 172
Game 199 | P1: 43 | P2: 17 | Moves: 25 | Time(ms): 270
Game 200 | P1: 11 | P2: 51 | Moves: 20 | Time(ms): 248
Game 201 | P1: 19 | P2: 51 | Moves: 24 | Time(ms): 288
Game 202 | P1: 45 | P2: 14 | Moves: 23 | Time(ms): 223
Game 203 | P1: 31 | P2: 35 | Moves: 21 | Time(ms): 217
Game 204 | P1: 32 | P2: 33 | Moves: 46 | Time(ms): 507
Game 205 | P1: 25 | P2: 37 | Moves: 10 | Time(ms): 119
Game 206 | P1: 32 | P2: 35 | Moves: 17 | Time(ms): 169
Game 207 | P1: 21 | P2: 39 | Moves: 48 | Time(ms): 595
Game 208 | P1: 43 | P2: 17 | Moves: 43 | Time(ms): 427
Game 209 | P1: 35 | P2: 30 | Moves: 62 | Time(ms): 734
Game 210 | P1: 43 | P2: 21 | Moves: 21 | Time(ms): 182
Game 211 | P1: 43 | P2: 22 | Moves: 23 | Time(ms): 206
Game 212 | P1: 27 | P2: 24 | Moves: 9 | Time(ms): 123
Game 213 | P1: 45 | P2: 15 | Moves: 93 | Time(ms): 806
Game 214 | P1: 7 | P2: 49 | Moves: 12 | Time(ms): 157
Game 215 | P1: 32 | P2: 33 | Moves: 26 | Time(ms): 311
Game 216 | P1: 15 | P2: 49 | Moves: 12 | Time(ms): 142
Game 217 | P1: 9 | P2: 46 | Moves: 14 | Time(ms): 168
Game 218 | P1: 45 | P2: 1 | Moves: 13 | Time(ms): 157
Game 219 | P1: 32 | P2: 35 | Moves: 31 | Time(ms): 347
Game 220 | P1: 29 | P2: 37 | Moves: 31 | Time(ms): 345
Game 221 | P1: 58 | P2: 4 | Moves: 19 | Time(ms): 261
Game 222 | P1: 38 | P2: 27 | Moves: 84 | Time(ms): 1021
Game 223 | P1: 48 | P2: 17 | Moves: 19 | Time(ms): 202
Game 224 | P1: 19 | P2: 41 | Moves: 88 | Time(ms): 1158
Game 225 | P1: 28 | P2: 38 | Moves: 14 | Time(ms): 176
Game 226 | P1: 25 | P2: 37 | Moves: 10 | Time(ms): 123
Game 227 | P1: 38 | P2: 23 | Moves: 200 | Time(ms): 2348
Game 228 | P1: 8 | P2: 54 | Moves: 12 | Time(ms): 130
Game 229 | P1: 45 | P2: 21 | Moves: 21 | Time(ms): 184
Game 230 | P1: 49 | P2: 19 | Moves: 23 | Time(ms): 197
Game 231 | P1: 45 | P2: 17 | Moves: 179 | Time(ms): 2071
Game 232 | P1: 43 | P2: 17 | Moves: 39 | Time(ms): 385
Game 233 | P1: 43 | P2: 24 | Moves: 49 | Time(ms): 500
Game 234 | P1: 15 | P2: 49 | Moves: 12 | Time(ms): 145
Game 235 | P1: 6 | P2: 41 | Moves: 18 | Time(ms): 185
Game 236 | P1: 29 | P2: 32 | Moves: 15 | Time(ms): 187
Game 237 | P1: 60 | P2: 3 | Moves: 21 | Time(ms): 224
Game 238 | P1: 38 | P2: 27 | Moves: 94 | Time(ms): 1183
Game 239 | P1: 8 | P2: 51 | Moves: 22 | Time(ms): 259
Game 240 | P1: 25 | P2: 37 | Moves: 10 | Time(ms): 117
Game 241 | P1: 25 | P2: 35 | Moves: 15 | Time(ms): 166
Game 242 | P1: 32 | P2: 32 | Moves: 17 | Time(ms): 190
Game 243 | P1: 9 | P2: 50 | Moves: 16 | Time(ms): 205
Game 244 | P1: 25 | P2: 37 | Moves: 10 | Time(ms): 119
Game 245 | P1: 33 | P2: 23 | Moves: 13 | Time(ms): 151
