Game 1 | P1: 9 | P2: 60 | Moves: 14 | Time(ms): 942
Game 2 | P1: 6 | P2: 60 | Moves: 10 | Time(ms): 747
Game 3 | P1: 27 | P2: 33 | Moves: 200 | Time(ms): 23383
Game 4 | P1: 19 | P2: 45 | Moves: 18 | Time(ms): 1531
Game 5 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 454
Game 6 | P1: 27 | P2: 33 | Moves: 200 | Time(ms): 23339
Game 7 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 473
Game 8 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 486
Game 9 | P1: 6 | P2: 56 | Moves: 12 | Time(ms): 862
Game 10 | P1: 18 | P2: 46 | Moves: 24 | Time(ms): 1631
Game 11 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 463
Game 12 | P1: 6 | P2: 56 | Moves: 12 | Time(ms): 919
Game 13 | P1: 24 | P2: 36 | Moves: 14 | Time(ms): 936
Game 14 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 470
Game 15 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 491
Game 16 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 494
Game 17 | P1: 25 | P2: 38 | Moves: 200 | Time(ms): 19078
Game 18 | P1: 6 | P2: 58 | Moves: 12 | Time(ms): 1062
Game 19 | P1: 6 | P2: 56 | Moves: 12 | Time(ms): 899
Game 20 | P1: 24 | P2: 45 | Moves: 22 | Time(ms): 2105
Game 21 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 482
Game 22 | P1: 6 | P2: 50 | Moves: 12 | Time(ms): 1068
Game 23 | P1: 19 | P2: 45 | Moves: 18 | Time(ms): 1486
Game 24 | P1: 30 | P2: 36 | Moves: 200 | Time(ms): 22474
Game 25 | P1: 1 | P2: 52 | Moves: 10 | Time(ms): 995
Game 26 | P1: 24 | P2: 36 | Moves: 14 | Time(ms): 939
Game 27 | P1: 35 | P2: 34 | Moves: 9 | Time(ms): 646
Game 28 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 468
Game 29 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 480
Game 30 | P1: 8 | P2: 51 | Moves: 12 | Time(ms): 1062
Game 31 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 482
Game 32 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 457
