Game 1 | P1: 41 | P2: 8 | Moves: 11 | Time(ms): 629
Game 2 | P1: 66 | P2: 1 | Moves: 7 | Time(ms): 300
Game 3 | P1: 47 | P2: 6 | Moves: 9 | Time(ms): 521
Game 4 | P1: 48 | P2: 16 | Moves: 13 | Time(ms): 774
Game 5 | P1: 53 | P2: 3 | Moves: 13 | Time(ms): 637
Game 6 | P1: 50 | P2: 2 | Moves: 5 | Time(ms): 277
Game 7 | P1: 59 | P2: 3 | Moves: 17 | Time(ms): 587
Game 8 | P1: 53 | P2: 5 | Moves: 11 | Time(ms): 558
Game 9 | P1: 53 | P2: 5 | Moves: 11 | Time(ms): 743
Game 10 | P1: 51 | P2: 3 | Moves: 9 | Time(ms): 566
Game 11 | P1: 57 | P2: 1 | Moves: 9 | Time(ms): 676
Game 12 | P1: 44 | P2: 16 | Moves: 11 | Time(ms): 641
Game 13 | P1: 63 | P2: 7 | Moves: 9 | Time(ms): 411
Game 14 | P1: 58 | P2: 0 | Moves: 11 | Time(ms): 551
Game 15 | P1: 54 | P2: 2 | Moves: 7 | Time(ms): 453
Game 16 | P1: 42 | P2: 18 | Moves: 13 | Time(ms): 710
Game 17 | P1: 46 | P2: 0 | Moves: 9 | Time(ms): 499
Game 18 | P1: 53 | P2: 8 | Moves: 11 | Time(ms): 635
Game 19 | P1: 48 | P2: 15 | Moves: 23 | Time(ms): 1782
Game 20 | P1: 44 | P2: 0 | Moves: 7 | Time(ms): 465
Game 21 | P1: 55 | P2: 11 | Moves: 15 | Time(ms): 601
Game 22 | P1: 36 | P2: 2 | Moves: 8 | Time(ms): 365
Game 23 | P1: 45 | P2: 23 | Moves: 39 | Time(ms): 3265
Game 24 | P1: 44 | P2: 0 | Moves: 5 | Time(ms): 367
Game 25 | P1: 60 | P2: 8 | Moves: 9 | Time(ms): 476
Game 26 | P1: 43 | P2: 4 | Moves: 7 | Time(ms): 429
Game 27 | P1: 53 | P2: 1 | Moves: 13 | Time(ms): 605
Game 28 | P1: 45 | P2: 20 | Moves: 43 | Time(ms): 3166
Game 29 | P1: 57 | P2: 6 | Moves: 13 | Time(ms): 841
Game 30 | P1: 43 | P2: 0 | Moves: 9 | Time(ms): 501
Game 31 | P1: 47 | P2: 8 | Moves: 7 | Time(ms): 521
Game 32 | P1: 19 | P2: 47 | Moves: 10 | Time(ms): 619
Game 33 | P1: 60 | P2: 7 | Moves: 7 | Time(ms): 492
Game 34 | P1: 36 | P2: 32 | Moves: 10 | Time(ms): 455
Game 35 | P1: 53 | P2: 8 | Moves: 7 | Time(ms): 455
Game 36 | P1: 57 | P2: 6 | Moves: 9 | Time(ms): 428
Game 37 | P1: 63 | P2: 0 | Moves: 11 | Time(ms): 454
Game 38 | P1: 55 | P2: 0 | Moves: 7 | Time(ms): 429
Game 39 | P1: 60 | P2: 0 | Moves: 5 | Time(ms): 263
Game 40 | P1: 55 | P2: 10 | Moves: 17 | Time(ms): 749
Game 41 | P1: 62 | P2: 3 | Moves: 17 | Time(ms): 526
Game 42 | P1: 55 | P2: 1 | Moves: 11 | Time(ms): 563
Game 43 | P1: 45 | P2: 10 | Moves: 13 | Time(ms): 815
Game 44 | P1: 57 | P2: 0 | Moves: 9 | Time(ms): 522
Game 45 | P1: 56 | P2: 8 | Moves: 15 | Time(ms): 713
Game 46 | P1: 9 | P2: 0 | Moves: 6 | Time(ms): 373
Game 47 | P1: 44 | P2: 15 | Moves: 19 | Time(ms): 1068
Game 48 | P1: 38 | P2: 1 | Moves: 8 | Time(ms): 414
Game 49 | P1: 46 | P2: 1 | Moves: 9 | Time(ms): 668
Game 50 | P1: 45 | P2: 3 | Moves: 11 | Time(ms): 471
Game 51 | P1: 49 | P2: 0 | Moves: 5 | Time(ms): 327
Game 52 | P1: 41 | P2: 18 | Moves: 11 | Time(ms): 550
Game 53 | P1: 56 | P2: 6 | Moves: 7 | Time(ms): 375
Game 54 | P1: 43 | P2: 0 | Moves: 5 | Time(ms): 357
Game 55 | P1: 55 | P2: 1 | Moves: 7 | Time(ms): 460
Game 56 | P1: 62 | P2: 4 | Moves: 9 | Time(ms): 562
Game 57 | P1: 64 | P2: 0 | Moves: 7 | Time(ms): 359
Game 58 | P1: 52 | P2: 6 | Moves: 15 | Time(ms): 789
Game 59 | P1: 41 | P2: 10 | Moves: 7 | Time(ms): 486
Game 60 | P1: 36 | P2: 29 | Moves: 27 | Time(ms): 2862
Game 61 | P1: 55 | P2: 0 | Moves: 7 | Time(ms): 395
Game 62 | P1: 47 | P2: 12 | Moves: 11 | Time(ms): 855
Game 63 | P1: 60 | P2: 0 | Moves: 5 | Time(ms): 273
Game 64 | P1: 24 | P2: 35 | Moves: 11 | Time(ms): 746
Game 65 | P1: 62 | P2: 2 | Moves: 11 | Time(ms): 678
Game 66 | P1: 57 | P2: 10 | Moves: 11 | Time(ms): 574
Game 67 | P1: 61 | P2: 0 | Moves: 11 | Time(ms): 567
Game 68 | P1: 60 | P2: 0 | Moves: 7 | Time(ms): 374
Game 69 | P1: 57 | P2: 4 | Moves: 9 | Time(ms): 408
Game 70 | P1: 42 | P2: 8 | Moves: 81 | Time(ms): 3874
Game 71 | P1: 39 | P2: 3 | Moves: 16 | Time(ms): 589
Game 72 | P1: 59 | P2: 5 | Moves: 13 | Time(ms): 538
Game 73 | P1: 41 | P2: 7 | Moves: 7 | Time(ms): 327
Game 74 | P1: 43 | P2: 21 | Moves: 17 | Time(ms): 867
Game 75 | P1: 64 | P2: 1 | Moves: 9 | Time(ms): 379
Game 76 | P1: 48 | P2: 15 | Moves: 9 | Time(ms): 426
Game 77 | P1: 58 | P2: 3 | Moves: 15 | Time(ms): 644
Game 78 | P1: 41 | P2: 4 | Moves: 11 | Time(ms): 463
Game 79 | P1: 59 | P2: 9 | Moves: 9 | Time(ms): 501
Game 80 | P1: 26 | P2: 4 | Moves: 10 | Time(ms): 431
Game 81 | P1: 64 | P2: 1 | Moves: 11 | Time(ms): 555
Game 82 | P1: 66 | P2: 1 | Moves: 7 | Time(ms): 330
Game 83 | P1: 57 | P2: 8 | Moves: 9 | Time(ms): 382
Game 84 | P1: 41 | P2: 9 | Moves: 7 | Time(ms): 451
Game 85 | P1: 43 | P2: 21 | Moves: 15 | Time(ms): 1027
Game 86 | P1: 49 | P2: 0 | Moves: 5 | Time(ms): 321
Game 87 | P1: 56 | P2: 8 | Moves: 15 | Time(ms): 828
Game 88 | P1: 56 | P2: 8 | Moves: 7 | Time(ms): 386
Game 89 | P1: 41 | P2: 18 | Moves: 9 | Time(ms): 601
Game 90 | P1: 41 | P2: 0 | Moves: 7 | Time(ms): 444
Game 91 | P1: 50 | P2: 1 | Moves: 9 | Time(ms): 508
Game 92 | P1: 44 | P2: 1 | Moves: 11 | Time(ms): 430
Game 93 | P1: 55 | P2: 7 | Moves: 13 | Time(ms): 758
Game 94 | P1: 60 | P2: 3 | Moves: 15 | Time(ms): 525
Game 95 | P1: 56 | P2: 0 | Moves: 13 | Time(ms): 732
Game 96 | P1: 62 | P2: 8 | Moves: 7 | Time(ms): 346
Game 97 | P1: 60 | P2: 0 | Moves: 5 | Time(ms): 271
Game 98 | P1: 43 | P2: 0 | Moves: 7 | Time(ms): 435
Game 99 | P1: 44 | P2: 21 | Moves: 25 | Time(ms): 1737
Game 100 | P1: 44 | P2: 0 | Moves: 5 | Time(ms): 372
Game 101 | P1: 41 | P2: 26 | Moves: 11 | Time(ms): 487
Game 102 | P1: 53 | P2: 5 | Moves: 17 | Time(ms): 746
Game 103 | P1: 45 | P2: 19 | Moves: 53 | Time(ms): 4600
Game 104 | P1: 53 | P2: 5 | Moves: 9 | Time(ms): 577
Game 105 | P1: 31 | P2: 18 | Moves: 8 | Time(ms): 561
Game 106 | P1: 54 | P2: 3 | Moves: 11 | Time(ms): 554
Game 107 | P1: 49 | P2: 0 | Moves: 11 | Time(ms): 782
Game 108 | P1: 40 | P2: 28 | Moves: 97 | Time(ms): 9382
Game 109 | P1: 43 | P2: 4 | Moves: 9 | Time(ms): 508
Game 110 | P1: 54 | P2: 10 | Moves: 15 | Time(ms): 715
Game 111 | P1: 13 | P2: 57 | Moves: 6 | Time(ms): 315
Game 112 | P1: 46 | P2: 15 | Moves: 13 | Time(ms): 713
Game 113 | P1: 61 | P2: 0 | Moves: 11 | Time(ms): 593
Game 114 | P1: 60 | P2: 7 | Moves: 17 | Time(ms): 672
Game 115 | P1: 44 | P2: 22 | Moves: 23 | Time(ms): 1607
