Game 1 | P1: 18 | P2: 46 | Moves: 14 | Time(ms): 1297
Game 2 | P1: 15 | P2: 55 | Moves: 16 | Time(ms): 1542
Game 3 | P1: 38 | P2: 32 | Moves: 69 | Time(ms): 9699
Game 4 | P1: 20 | P2: 44 | Moves: 14 | Time(ms): 1311
Game 5 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 1202
Game 6 | P1: 17 | P2: 46 | Moves: 8 | Time(ms): 567
Game 7 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 783
Game 8 | P1: 52 | P2: 11 | Moves: 9 | Time(ms): 876
Game 9 | P1: 19 | P2: 45 | Moves: 50 | Time(ms): 5870
Game 10 | P1: 18 | P2: 50 | Moves: 8 | Time(ms): 714
Game 11 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 827
Game 12 | P1: 31 | P2: 32 | Moves: 200 | Time(ms): 32691
Game 13 | P1: 41 | P2: 29 | Moves: 39 | Time(ms): 6405
Game 14 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 780
Game 15 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 824
Game 16 | P1: 15 | P2: 55 | Moves: 16 | Time(ms): 1324
Game 17 | P1: 58 | P2: 4 | Moves: 9 | Time(ms): 1035
Game 18 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 784
Game 19 | P1: 43 | P2: 8 | Moves: 9 | Time(ms): 772
Game 20 | P1: 17 | P2: 42 | Moves: 126 | Time(ms): 18883
Game 21 | P1: 17 | P2: 46 | Moves: 8 | Time(ms): 496
Game 22 | P1: 17 | P2: 46 | Moves: 8 | Time(ms): 499
Game 23 | P1: 58 | P2: 4 | Moves: 9 | Time(ms): 1073
Game 24 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 738
Game 25 | P1: 57 | P2: 7 | Moves: 11 | Time(ms): 1106
Game 26 | P1: 14 | P2: 54 | Moves: 12 | Time(ms): 846
Game 27 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 836
Game 28 | P1: 17 | P2: 46 | Moves: 8 | Time(ms): 601
Game 29 | P1: 14 | P2: 54 | Moves: 12 | Time(ms): 1017
Game 30 | P1: 43 | P2: 3 | Moves: 9 | Time(ms): 951
Game 31 | P1: 30 | P2: 34 | Moves: 200 | Time(ms): 33213
Game 32 | P1: 14 | P2: 54 | Moves: 12 | Time(ms): 858
Game 33 | P1: 41 | P2: 19 | Moves: 65 | Time(ms): 8189
Game 34 | P1: 58 | P2: 4 | Moves: 9 | Time(ms): 1002
Game 35 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 693
Game 36 | P1: 27 | P2: 39 | Moves: 26 | Time(ms): 3740
Game 37 | P1: 17 | P2: 46 | Moves: 8 | Time(ms): 517
Game 38 | P1: 17 | P2: 51 | Moves: 16 | Time(ms): 839
Game 39 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 798
Game 40 | P1: 41 | P2: 3 | Moves: 7 | Time(ms): 680
Game 41 | P1: 18 | P2: 41 | Moves: 16 | Time(ms): 1471
Game 42 | P1: 16 | P2: 44 | Moves: 20 | Time(ms): 1505
Game 43 | P1: 17 | P2: 46 | Moves: 8 | Time(ms): 497
Game 44 | P1: 33 | P2: 36 | Moves: 42 | Time(ms): 7528
Game 45 | P1: 58 | P2: 4 | Moves: 9 | Time(ms): 1063
Game 46 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 936
Game 47 | P1: 17 | P2: 46 | Moves: 8 | Time(ms): 574
Game 48 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 743
Game 49 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 741
Game 50 | P1: 14 | P2: 54 | Moves: 12 | Time(ms): 898
Game 51 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 752
Game 52 | P1: 17 | P2: 46 | Moves: 8 | Time(ms): 645
Game 53 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 737
Game 54 | P1: 20 | P2: 42 | Moves: 12 | Time(ms): 1098
Game 55 | P1: 43 | P2: 8 | Moves: 9 | Time(ms): 800
Game 56 | P1: 58 | P2: 4 | Moves: 9 | Time(ms): 1105
Game 57 | P1: 15 | P2: 48 | Moves: 12 | Time(ms): 813
Game 58 | P1: 45 | P2: 23 | Moves: 43 | Time(ms): 7003
Game 59 | P1: 58 | P2: 4 | Moves: 9 | Time(ms): 1090
Game 60 | P1: 14 | P2: 54 | Moves: 12 | Time(ms): 925
Game 61 | P1: 17 | P2: 46 | Moves: 8 | Time(ms): 622
Game 62 | P1: 15 | P2: 55 | Moves: 16 | Time(ms): 1377
Game 63 | P1: 30 | P2: 33 | Moves: 200 | Time(ms): 31860
Game 64 | P1: 33 | P2: 24 | Moves: 8 | Time(ms): 744
Game 65 | P1: 14 | P2: 54 | Moves: 12 | Time(ms): 859
Game 66 | P1: 15 | P2: 48 | Moves: 12 | Time(ms): 829
Game 67 | P1: 17 | P2: 46 | Moves: 8 | Time(ms): 639
Game 68 | P1: 58 | P2: 4 | Moves: 9 | Time(ms): 1011
Game 69 | P1: 58 | P2: 4 | Moves: 9 | Time(ms): 1014
Game 70 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 721
Game 71 | P1: 51 | P2: 6 | Moves: 11 | Time(ms): 1016
Game 72 | P1: 17 | P2: 46 | Moves: 8 | Time(ms): 466
Game 73 | P1: 43 | P2: 27 | Moves: 187 | Time(ms): 27690
Game 74 | P1: 53 | P2: 8 | Moves: 7 | Time(ms): 734
Game 75 | P1: 27 | P2: 32 | Moves: 200 | Time(ms): 28316
Game 76 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 707
Game 77 | P1: 65 | P2: 3 | Moves: 9 | Time(ms): 974
Game 78 | P1: 18 | P2: 50 | Moves: 8 | Time(ms): 624
Game 79 | P1: 37 | P2: 26 | Moves: 50 | Time(ms): 7369
Game 80 | P1: 17 | P2: 46 | Moves: 8 | Time(ms): 470
Game 81 | P1: 26 | P2: 39 | Moves: 72 | Time(ms): 12982
Game 82 | P1: 14 | P2: 54 | Moves: 12 | Time(ms): 1337
Game 83 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 751
Game 84 | P1: 15 | P2: 55 | Moves: 16 | Time(ms): 1351
Game 85 | P1: 58 | P2: 4 | Moves: 9 | Time(ms): 1028
Game 86 | P1: 19 | P2: 47 | Moves: 16 | Time(ms): 1551
Game 87 | P1: 17 | P2: 46 | Moves: 8 | Time(ms): 547
Game 88 | P1: 17 | P2: 46 | Moves: 8 | Time(ms): 1046
Game 89 | P1: 14 | P2: 54 | Moves: 12 | Time(ms): 942
Game 90 | P1: 14 | P2: 54 | Moves: 12 | Time(ms): 958
Game 91 | P1: 36 | P2: 29 | Moves: 21 | Time(ms): 2825
Game 92 | P1: 13 | P2: 43 | Moves: 16 | Time(ms): 1524
Game 93 | P1: 17 | P2: 46 | Moves: 8 | Time(ms): 624
Game 94 | P1: 31 | P2: 32 | Moves: 200 | Time(ms): 34762
Game 95 | P1: 33 | P2: 24 | Moves: 8 | Time(ms): 721
Game 96 | P1: 32 | P2: 32 | Moves: 200 | Time(ms): 25470
Game 97 | P1: 22 | P2: 41 | Moves: 28 | Time(ms): 2717
Game 98 | P1: 20 | P2: 42 | Moves: 12 | Time(ms): 853
Game 99 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 662
Game 100 | P1: 31 | P2: 31 | Moves: 200 | Time(ms): 30854
Game 101 | P1: 35 | P2: 32 | Moves: 16 | Time(ms): 1446
Game 102 | P1: 58 | P2: 4 | Moves: 9 | Time(ms): 1030
Game 103 | P1: 32 | P2: 38 | Moves: 16 | Time(ms): 2060
Game 104 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 717
Game 105 | P1: 58 | P2: 4 | Moves: 9 | Time(ms): 1234
Game 106 | P1: 18 | P2: 44 | Moves: 10 | Time(ms): 714
Game 107 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 734
Game 108 | P1: 42 | P2: 6 | Moves: 9 | Time(ms): 1044
Game 109 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 766
Game 110 | P1: 31 | P2: 33 | Moves: 200 | Time(ms): 33328
Game 111 | P1: 58 | P2: 4 | Moves: 9 | Time(ms): 1022
