Game 1 | P1: 27 | P2: 29 | Moves: 200 | Time(ms): 519
Game 2 | P1: 27 | P2: 33 | Moves: 200 | Time(ms): 443
Game 3 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 117
Game 4 | P1: 33 | P2: 31 | Moves: 200 | Time(ms): 414
Game 5 | P1: 26 | P2: 34 | Moves: 200 | Time(ms): 451
Game 6 | P1: 20 | P2: 44 | Moves: 22 | Time(ms): 225
Game 7 | P1: 17 | P2: 47 | Moves: 16 | Time(ms): 216
Game 8 | P1: 17 | P2: 50 | Moves: 12 | Time(ms): 98
Game 9 | P1: 27 | P2: 33 | Moves: 200 | Time(ms): 545
Game 10 | P1: 31 | P2: 33 | Moves: 200 | Time(ms): 371
Game 11 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 133
Game 12 | P1: 8 | P2: 51 | Moves: 12 | Time(ms): 182
Game 13 | P1: 22 | P2: 41 | Moves: 64 | Time(ms): 379
Game 14 | P1: 21 | P2: 45 | Moves: 16 | Time(ms): 204
Game 15 | P1: 17 | P2: 50 | Moves: 12 | Time(ms): 85
Game 16 | P1: 17 | P2: 49 | Moves: 12 | Time(ms): 100
Game 17 | P1: 17 | P2: 47 | Moves: 16 | Time(ms): 185
Game 18 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 116
Game 19 | P1: 17 | P2: 41 | Moves: 46 | Time(ms): 332
Game 20 | P1: 19 | P2: 44 | Moves: 40 | Time(ms): 216
Game 21 | P1: 17 | P2: 50 | Moves: 12 | Time(ms): 117
Game 22 | P1: 17 | P2: 50 | Moves: 12 | Time(ms): 96
Game 23 | P1: 17 | P2: 49 | Moves: 12 | Time(ms): 109
Game 24 | P1: 22 | P2: 42 | Moves: 64 | Time(ms): 350
Game 25 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 119
Game 26 | P1: 13 | P2: 48 | Moves: 28 | Time(ms): 219
Game 27 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 101
Game 28 | P1: 40 | P2: 30 | Moves: 49 | Time(ms): 172
Game 29 | P1: 32 | P2: 32 | Moves: 200 | Time(ms): 222
Game 30 | P1: 12 | P2: 51 | Moves: 18 | Time(ms): 84
Game 31 | P1: 12 | P2: 48 | Moves: 14 | Time(ms): 207
Game 32 | P1: 18 | P2: 45 | Moves: 64 | Time(ms): 309
Game 33 | P1: 32 | P2: 31 | Moves: 130 | Time(ms): 318
Game 34 | P1: 20 | P2: 42 | Moves: 22 | Time(ms): 214
Game 35 | P1: 20 | P2: 34 | Moves: 200 | Time(ms): 281
Game 36 | P1: 28 | P2: 39 | Moves: 200 | Time(ms): 381
Game 37 | P1: 17 | P2: 50 | Moves: 12 | Time(ms): 94
Game 38 | P1: 17 | P2: 50 | Moves: 12 | Time(ms): 82
Game 39 | P1: 22 | P2: 43 | Moves: 62 | Time(ms): 426
Game 40 | P1: 36 | P2: 27 | Moves: 200 | Time(ms): 346
Game 41 | P1: 8 | P2: 51 | Moves: 12 | Time(ms): 192
Game 42 | P1: 31 | P2: 33 | Moves: 200 | Time(ms): 509
Game 43 | P1: 17 | P2: 47 | Moves: 16 | Time(ms): 252
