Game 1 | P1: 46 | P2: 8 | Moves: 9 | Time(ms): 102
Game 2 | P1: 21 | P2: 46 | Moves: 24 | Time(ms): 182
Game 3 | P1: 16 | P2: 44 | Moves: 138 | Time(ms): 1609
Game 4 | P1: 19 | P2: 44 | Moves: 44 | Time(ms): 418
Game 5 | P1: 55 | P2: 10 | Moves: 17 | Time(ms): 177
Game 6 | P1: 57 | P2: 13 | Moves: 11 | Time(ms): 108
Game 7 | P1: 42 | P2: 28 | Moves: 61 | Time(ms): 721
Game 8 | P1: 17 | P2: 43 | Moves: 40 | Time(ms): 362
Game 9 | P1: 13 | P2: 53 | Moves: 20 | Time(ms): 188
Game 10 | P1: 21 | P2: 41 | Moves: 142 | Time(ms): 1594
Game 11 | P1: 14 | P2: 49 | Moves: 24 | Time(ms): 213
Game 12 | P1: 32 | P2: 36 | Moves: 19 | Time(ms): 159
Game 13 | P1: 57 | P2: 10 | Moves: 23 | Time(ms): 236
Game 14 | P1: 16 | P2: 46 | Moves: 94 | Time(ms): 900
Game 15 | P1: 16 | P2: 48 | Moves: 20 | Time(ms): 165
Game 16 | P1: 33 | P2: 29 | Moves: 13 | Time(ms): 137
Game 17 | P1: 16 | P2: 46 | Moves: 16 | Time(ms): 156
Game 18 | P1: 46 | P2: 11 | Moves: 17 | Time(ms): 176
Game 19 | P1: 37 | P2: 22 | Moves: 12 | Time(ms): 127
Game 20 | P1: 23 | P2: 42 | Moves: 14 | Time(ms): 112
Game 21 | P1: 57 | P2: 13 | Moves: 15 | Time(ms): 137
Game 22 | P1: 49 | P2: 11 | Moves: 13 | Time(ms): 139
Game 23 | P1: 39 | P2: 20 | Moves: 14 | Time(ms): 140
Game 24 | P1: 33 | P2: 29 | Moves: 13 | Time(ms): 136
Game 25 | P1: 7 | P2: 52 | Moves: 18 | Time(ms): 167
Game 26 | P1: 46 | P2: 8 | Moves: 9 | Time(ms): 98
Game 27 | P1: 31 | P2: 29 | Moves: 200 | Time(ms): 2365
Game 28 | P1: 20 | P2: 47 | Moves: 34 | Time(ms): 327
Game 29 | P1: 43 | P2: 25 | Moves: 23 | Time(ms): 193
Game 30 | P1: 28 | P2: 38 | Moves: 17 | Time(ms): 141
Game 31 | P1: 31 | P2: 34 | Moves: 16 | Time(ms): 161
Game 32 | P1: 10 | P2: 52 | Moves: 22 | Time(ms): 204
Game 33 | P1: 25 | P2: 42 | Moves: 44 | Time(ms): 511
Game 34 | P1: 27 | P2: 39 | Moves: 74 | Time(ms): 922
Game 35 | P1: 41 | P2: 21 | Moves: 21 | Time(ms): 210
Game 36 | P1: 37 | P2: 29 | Moves: 26 | Time(ms): 259
Game 37 | P1: 24 | P2: 43 | Moves: 14 | Time(ms): 121
Game 38 | P1: 42 | P2: 17 | Moves: 15 | Time(ms): 148
Game 39 | P1: 15 | P2: 48 | Moves: 18 | Time(ms): 175
Game 40 | P1: 24 | P2: 42 | Moves: 90 | Time(ms): 1025
Game 41 | P1: 47 | P2: 10 | Moves: 13 | Time(ms): 154
Game 42 | P1: 28 | P2: 36 | Moves: 12 | Time(ms): 130
Game 43 | P1: 30 | P2: 36 | Moves: 38 | Time(ms): 414
Game 44 | P1: 7 | P2: 63 | Moves: 12 | Time(ms): 132
Game 45 | P1: 17 | P2: 47 | Moves: 32 | Time(ms): 318
Game 46 | P1: 49 | P2: 9 | Moves: 13 | Time(ms): 156
Game 47 | P1: 7 | P2: 63 | Moves: 12 | Time(ms): 125
Game 48 | P1: 25 | P2: 39 | Moves: 14 | Time(ms): 155
Game 49 | P1: 24 | P2: 44 | Moves: 24 | Time(ms): 200
Game 50 | P1: 49 | P2: 11 | Moves: 13 | Time(ms): 140
Game 51 | P1: 33 | P2: 31 | Moves: 14 | Time(ms): 124
Game 52 | P1: 17 | P2: 42 | Moves: 16 | Time(ms): 158
Game 53 | P1: 41 | P2: 23 | Moves: 15 | Time(ms): 126
Game 54 | P1: 22 | P2: 42 | Moves: 44 | Time(ms): 423
Game 55 | P1: 16 | P2: 52 | Moves: 24 | Time(ms): 208
Game 56 | P1: 41 | P2: 16 | Moves: 39 | Time(ms): 442
Game 57 | P1: 34 | P2: 25 | Moves: 12 | Time(ms): 130
Game 58 | P1: 12 | P2: 54 | Moves: 24 | Time(ms): 227
Game 59 | P1: 48 | P2: 15 | Moves: 15 | Time(ms): 155
Game 60 | P1: 55 | P2: 9 | Moves: 13 | Time(ms): 149
Game 61 | P1: 30 | P2: 35 | Moves: 19 | Time(ms): 200
Game 62 | P1: 24 | P2: 43 | Moves: 14 | Time(ms): 112
Game 63 | P1: 33 | P2: 29 | Moves: 13 | Time(ms): 133
Game 64 | P1: 51 | P2: 9 | Moves: 11 | Time(ms): 114
Game 65 | P1: 34 | P2: 25 | Moves: 12 | Time(ms): 130
Game 66 | P1: 33 | P2: 29 | Moves: 13 | Time(ms): 137
Game 67 | P1: 31 | P2: 34 | Moves: 16 | Time(ms): 159
Game 68 | P1: 22 | P2: 41 | Moves: 56 | Time(ms): 499
Game 69 | P1: 9 | P2: 53 | Moves: 14 | Time(ms): 145
Game 70 | P1: 24 | P2: 43 | Moves: 14 | Time(ms): 113
Game 71 | P1: 18 | P2: 47 | Moves: 22 | Time(ms): 221
Game 72 | P1: 28 | P2: 36 | Moves: 146 | Time(ms): 1717
Game 73 | P1: 34 | P2: 34 | Moves: 83 | Time(ms): 1024
Game 74 | P1: 24 | P2: 43 | Moves: 14 | Time(ms): 120
Game 75 | P1: 18 | P2: 52 | Moves: 12 | Time(ms): 107
Game 76 | P1: 55 | P2: 5 | Moves: 13 | Time(ms): 140
Game 77 | P1: 11 | P2: 55 | Moves: 26 | Time(ms): 230
Game 78 | P1: 58 | P2: 1 | Moves: 15 | Time(ms): 167
Game 79 | P1: 20 | P2: 42 | Moves: 32 | Time(ms): 314
Game 80 | P1: 5 | P2: 58 | Moves: 18 | Time(ms): 180
Game 81 | P1: 14 | P2: 49 | Moves: 26 | Time(ms): 220
Game 82 | P1: 48 | P2: 14 | Moves: 15 | Time(ms): 155
Game 83 | P1: 36 | P2: 32 | Moves: 18 | Time(ms): 170
Game 84 | P1: 24 | P2: 43 | Moves: 14 | Time(ms): 116
Game 85 | P1: 20 | P2: 41 | Moves: 92 | Time(ms): 1088
Game 86 | P1: 7 | P2: 63 | Moves: 12 | Time(ms): 134
Game 87 | P1: 11 | P2: 47 | Moves: 14 | Time(ms): 161
Game 88 | P1: 17 | P2: 49 | Moves: 16 | Time(ms): 153
Game 89 | P1: 41 | P2: 25 | Moves: 19 | Time(ms): 170
Game 90 | P1: 58 | P2: 7 | Moves: 19 | Time(ms): 206
Game 91 | P1: 9 | P2: 50 | Moves: 14 | Time(ms): 157
Game 92 | P1: 9 | P2: 50 | Moves: 14 | Time(ms): 133
Game 93 | P1: 42 | P2: 3 | Moves: 11 | Time(ms): 105
Game 94 | P1: 49 | P2: 11 | Moves: 13 | Time(ms): 143
Game 95 | P1: 22 | P2: 43 | Moves: 32 | Time(ms): 317
Game 96 | P1: 14 | P2: 46 | Moves: 40 | Time(ms): 302
Game 97 | P1: 49 | P2: 11 | Moves: 13 | Time(ms): 142
Game 98 | P1: 57 | P2: 9 | Moves: 21 | Time(ms): 235
Game 99 | P1: 33 | P2: 29 | Moves: 13 | Time(ms): 135
Game 100 | P1: 18 | P2: 45 | Moves: 126 | Time(ms): 1412
Game 101 | P1: 50 | P2: 10 | Moves: 11 | Time(ms): 134
Game 102 | P1: 38 | P2: 29 | Moves: 14 | Time(ms): 143
Game 103 | P1: 25 | P2: 1 | Moves: 12 | Time(ms): 119
Game 104 | P1: 41 | P2: 22 | Moves: 17 | Time(ms): 134
Game 105 | P1: 33 | P2: 29 | Moves: 13 | Time(ms): 138
Game 106 | P1: 24 | P2: 43 | Moves: 14 | Time(ms): 116
Game 107 | P1: 2 | P2: 42 | Moves: 12 | Time(ms): 135
Game 108 | P1: 2 | P2: 68 | Moves: 16 | Time(ms): 150
Game 109 | P1: 53 | P2: 1 | Moves: 11 | Time(ms): 118
Game 110 | P1: 24 | P2: 43 | Moves: 14 | Time(ms): 109
Game 111 | P1: 31 | P2: 31 | Moves: 10 | Time(ms): 100
Game 112 | P1: 27 | P2: 37 | Moves: 48 | Time(ms): 553
Game 113 | P1: 16 | P2: 46 | Moves: 26 | Time(ms): 208
Game 114 | P1: 41 | P2: 21 | Moves: 15 | Time(ms): 166
Game 115 | P1: 13 | P2: 53 | Moves: 20 | Time(ms): 202
Game 116 | P1: 17 | P2: 49 | Moves: 16 | Time(ms): 144
Game 117 | P1: 55 | P2: 9 | Moves: 15 | Time(ms): 167
Game 118 | P1: 57 | P2: 13 | Moves: 11 | Time(ms): 110
Game 119 | P1: 32 | P2: 35 | Moves: 20 | Time(ms): 170
Game 120 | P1: 18 | P2: 42 | Moves: 30 | Time(ms): 288
Game 121 | P1: 30 | P2: 36 | Moves: 20 | Time(ms): 175
Game 122 | P1: 36 | P2: 31 | Moves: 36 | Time(ms): 311
Game 123 | P1: 53 | P2: 6 | Moves: 13 | Time(ms): 121
Game 124 | P1: 49 | P2: 11 | Moves: 13 | Time(ms): 138
Game 125 | P1: 49 | P2: 11 | Moves: 13 | Time(ms): 139
Game 126 | P1: 46 | P2: 12 | Moves: 17 | Time(ms): 174
Game 127 | P1: 16 | P2: 46 | Moves: 106 | Time(ms): 1027
Game 128 | P1: 9 | P2: 53 | Moves: 14 | Time(ms): 143
Game 129 | P1: 13 | P2: 47 | Moves: 22 | Time(ms): 220
Game 130 | P1: 31 | P2: 34 | Moves: 35 | Time(ms): 413
Game 131 | P1: 53 | P2: 1 | Moves: 11 | Time(ms): 125
Game 132 | P1: 32 | P2: 34 | Moves: 18 | Time(ms): 159
Game 133 | P1: 18 | P2: 52 | Moves: 12 | Time(ms): 105
Game 134 | P1: 30 | P2: 34 | Moves: 20 | Time(ms): 218
Game 135 | P1: 24 | P2: 33 | Moves: 12 | Time(ms): 146
Game 136 | P1: 10 | P2: 58 | Moves: 26 | Time(ms): 227
Game 137 | P1: 41 | P2: 24 | Moves: 21 | Time(ms): 181
Game 138 | P1: 23 | P2: 35 | Moves: 14 | Time(ms): 157
Game 139 | P1: 55 | P2: 10 | Moves: 17 | Time(ms): 182
Game 140 | P1: 9 | P2: 53 | Moves: 14 | Time(ms): 143
