Game 1 | P1: 43 | P2: 17 | Moves: 11 | Time(ms): 515
Game 2 | P1: 57 | P2: 9 | Moves: 15 | Time(ms): 912
Game 3 | P1: 43 | P2: 17 | Moves: 11 | Time(ms): 505
Game 4 | P1: 57 | P2: 9 | Moves: 15 | Time(ms): 828
Game 5 | P1: 41 | P2: 7 | Moves: 7 | Time(ms): 301
Game 6 | P1: 28 | P2: 33 | Moves: 200 | Time(ms): 13352
Game 7 | P1: 41 | P2: 23 | Moves: 77 | Time(ms): 5857
Game 8 | P1: 41 | P2: 26 | Moves: 69 | Time(ms): 5203
Game 9 | P1: 44 | P2: 13 | Moves: 11 | Time(ms): 496
Game 10 | P1: 43 | P2: 8 | Moves: 9 | Time(ms): 451
Game 11 | P1: 57 | P2: 9 | Moves: 15 | Time(ms): 899
Game 12 | P1: 43 | P2: 17 | Moves: 11 | Time(ms): 493
Game 13 | P1: 57 | P2: 9 | Moves: 15 | Time(ms): 859
Game 14 | P1: 57 | P2: 9 | Moves: 15 | Time(ms): 819
Game 15 | P1: 43 | P2: 17 | Moves: 11 | Time(ms): 502
Game 16 | P1: 43 | P2: 17 | Moves: 11 | Time(ms): 496
Game 17 | P1: 42 | P2: 19 | Moves: 197 | Time(ms): 12452
Game 18 | P1: 41 | P2: 8 | Moves: 9 | Time(ms): 450
Game 19 | P1: 43 | P2: 17 | Moves: 11 | Time(ms): 506
Game 20 | P1: 43 | P2: 17 | Moves: 11 | Time(ms): 511
Game 21 | P1: 59 | P2: 6 | Moves: 11 | Time(ms): 521
Game 22 | P1: 53 | P2: 7 | Moves: 13 | Time(ms): 711
Game 23 | P1: 43 | P2: 17 | Moves: 11 | Time(ms): 513
Game 24 | P1: 43 | P2: 17 | Moves: 11 | Time(ms): 522
Game 25 | P1: 59 | P2: 6 | Moves: 11 | Time(ms): 547
Game 26 | P1: 41 | P2: 23 | Moves: 63 | Time(ms): 4399
Game 27 | P1: 54 | P2: 7 | Moves: 13 | Time(ms): 693
Game 28 | P1: 37 | P2: 27 | Moves: 200 | Time(ms): 13894
Game 29 | P1: 43 | P2: 17 | Moves: 11 | Time(ms): 514
Game 30 | P1: 57 | P2: 9 | Moves: 15 | Time(ms): 847
Game 31 | P1: 43 | P2: 17 | Moves: 11 | Time(ms): 517
Game 32 | P1: 57 | P2: 9 | Moves: 15 | Time(ms): 838
Game 33 | P1: 43 | P2: 17 | Moves: 11 | Time(ms): 500
Game 34 | P1: 51 | P2: 9 | Moves: 11 | Time(ms): 493
Game 35 | P1: 41 | P2: 8 | Moves: 9 | Time(ms): 454
Game 36 | P1: 33 | P2: 32 | Moves: 54 | Time(ms): 3737
Game 37 | P1: 37 | P2: 27 | Moves: 200 | Time(ms): 13904
Game 38 | P1: 58 | P2: 3 | Moves: 11 | Time(ms): 572
Game 39 | P1: 43 | P2: 17 | Moves: 11 | Time(ms): 511
Game 40 | P1: 41 | P2: 8 | Moves: 9 | Time(ms): 456
Game 41 | P1: 57 | P2: 9 | Moves: 15 | Time(ms): 848
Game 42 | P1: 59 | P2: 6 | Moves: 11 | Time(ms): 543
Game 43 | P1: 43 | P2: 17 | Moves: 11 | Time(ms): 505
Game 44 | P1: 57 | P2: 9 | Moves: 15 | Time(ms): 867
Game 45 | P1: 44 | P2: 13 | Moves: 11 | Time(ms): 511
Game 46 | P1: 45 | P2: 15 | Moves: 11 | Time(ms): 626
Game 47 | P1: 59 | P2: 6 | Moves: 11 | Time(ms): 543
Game 48 | P1: 57 | P2: 9 | Moves: 15 | Time(ms): 861
Game 49 | P1: 54 | P2: 7 | Moves: 13 | Time(ms): 701
Game 50 | P1: 53 | P2: 7 | Moves: 13 | Time(ms): 697
Game 51 | P1: 41 | P2: 8 | Moves: 9 | Time(ms): 445
Game 52 | P1: 42 | P2: 22 | Moves: 69 | Time(ms): 4606
Game 53 | P1: 57 | P2: 9 | Moves: 15 | Time(ms): 865
Game 54 | P1: 57 | P2: 9 | Moves: 15 | Time(ms): 825
Game 55 | P1: 57 | P2: 9 | Moves: 15 | Time(ms): 828
Game 56 | P1: 59 | P2: 6 | Moves: 11 | Time(ms): 525
Game 57 | P1: 41 | P2: 8 | Moves: 9 | Time(ms): 457
