Game 1 | P1: 41 | P2: 20 | Moves: 19 | Time(ms): 184
Game 2 | P1: 41 | P2: 16 | Moves: 11 | Time(ms): 164
Game 3 | P1: 44 | P2: 21 | Moves: 15 | Time(ms): 165
Game 4 | P1: 42 | P2: 22 | Moves: 21 | Time(ms): 181
Game 5 | P1: 44 | P2: 17 | Moves: 17 | Time(ms): 175
Game 6 | P1: 44 | P2: 17 | Moves: 15 | Time(ms): 166
Game 7 | P1: 42 | P2: 22 | Moves: 21 | Time(ms): 181
Game 8 | P1: 41 | P2: 17 | Moves: 11 | Time(ms): 174
Game 9 | P1: 42 | P2: 20 | Moves: 23 | Time(ms): 185
Game 10 | P1: 42 | P2: 20 | Moves: 23 | Time(ms): 182
Game 11 | P1: 44 | P2: 17 | Moves: 15 | Time(ms): 161
Game 12 | P1: 44 | P2: 19 | Moves: 17 | Time(ms): 168
Game 13 | P1: 42 | P2: 15 | Moves: 21 | Time(ms): 186
Game 14 | P1: 42 | P2: 21 | Moves: 25 | Time(ms): 184
Game 15 | P1: 46 | P2: 16 | Moves: 25 | Time(ms): 183
Game 16 | P1: 44 | P2: 17 | Moves: 17 | Time(ms): 172
Game 17 | P1: 42 | P2: 15 | Moves: 23 | Time(ms): 170
Game 18 | P1: 42 | P2: 20 | Moves: 23 | Time(ms): 186
Game 19 | P1: 41 | P2: 17 | Moves: 11 | Time(ms): 175
Game 20 | P1: 44 | P2: 17 | Moves: 17 | Time(ms): 174
Game 21 | P1: 41 | P2: 17 | Moves: 11 | Time(ms): 175
Game 22 | P1: 42 | P2: 23 | Moves: 21 | Time(ms): 167
Game 23 | P1: 41 | P2: 16 | Moves: 11 | Time(ms): 164
Game 24 | P1: 42 | P2: 21 | Moves: 15 | Time(ms): 163
Game 25 | P1: 41 | P2: 17 | Moves: 11 | Time(ms): 172
Game 26 | P1: 41 | P2: 16 | Moves: 11 | Time(ms): 166
Game 27 | P1: 46 | P2: 19 | Moves: 17 | Time(ms): 168
Game 28 | P1: 44 | P2: 21 | Moves: 15 | Time(ms): 163
Game 29 | P1: 41 | P2: 20 | Moves: 19 | Time(ms): 185
Game 30 | P1: 41 | P2: 16 | Moves: 11 | Time(ms): 165
Game 31 | P1: 41 | P2: 16 | Moves: 11 | Time(ms): 167
Game 32 | P1: 41 | P2: 17 | Moves: 11 | Time(ms): 172
Game 33 | P1: 42 | P2: 21 | Moves: 15 | Time(ms): 164
Game 34 | P1: 44 | P2: 19 | Moves: 17 | Time(ms): 168
Game 35 | P1: 41 | P2: 17 | Moves: 11 | Time(ms): 175
Game 36 | P1: 44 | P2: 17 | Moves: 17 | Time(ms): 173
Game 37 | P1: 41 | P2: 16 | Moves: 11 | Time(ms): 168
Game 38 | P1: 41 | P2: 17 | Moves: 11 | Time(ms): 175
Game 39 | P1: 42 | P2: 20 | Moves: 17 | Time(ms): 177
Game 40 | P1: 41 | P2: 23 | Moves: 17 | Time(ms): 166
Game 41 | P1: 45 | P2: 20 | Moves: 27 | Time(ms): 186
Game 42 | P1: 44 | P2: 19 | Moves: 17 | Time(ms): 163
Game 43 | P1: 42 | P2: 23 | Moves: 21 | Time(ms): 171
Game 44 | P1: 46 | P2: 19 | Moves: 17 | Time(ms): 167
Game 45 | P1: 44 | P2: 17 | Moves: 15 | Time(ms): 161
Game 46 | P1: 46 | P2: 19 | Moves: 17 | Time(ms): 168
Game 47 | P1: 44 | P2: 17 | Moves: 15 | Time(ms): 162
Game 48 | P1: 41 | P2: 17 | Moves: 11 | Time(ms): 175
Game 49 | P1: 42 | P2: 22 | Moves: 21 | Time(ms): 181
Game 50 | P1: 41 | P2: 23 | Moves: 17 | Time(ms): 166
Game 51 | P1: 42 | P2: 22 | Moves: 21 | Time(ms): 180
Game 52 | P1: 41 | P2: 18 | Moves: 23 | Time(ms): 181
Game 53 | P1: 41 | P2: 16 | Moves: 11 | Time(ms): 172
Game 54 | P1: 44 | P2: 17 | Moves: 15 | Time(ms): 162
Game 55 | P1: 44 | P2: 17 | Moves: 17 | Time(ms): 175
Game 56 | P1: 44 | P2: 17 | Moves: 15 | Time(ms): 162
Game 57 | P1: 44 | P2: 17 | Moves: 15 | Time(ms): 161
Game 58 | P1: 41 | P2: 20 | Moves: 19 | Time(ms): 182
Game 59 | P1: 42 | P2: 21 | Moves: 25 | Time(ms): 182
Game 60 | P1: 45 | P2: 16 | Moves: 25 | Time(ms): 183
Game 61 | P1: 41 | P2: 23 | Moves: 17 | Time(ms): 166
Game 62 | P1: 44 | P2: 17 | Moves: 17 | Time(ms): 173
