Game 1 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 2
Game 2 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 3 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 4 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 5 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 6 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 7 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 8 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 9 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 10 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 11 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 12 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 13 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 14 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 15 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 16 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 17 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 18 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 19 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 20 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 21 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 22 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 23 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 24 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 25 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 26 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 27 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 28 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 29 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 30 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 31 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 32 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 33 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 34 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 35 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 36 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 37 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 38 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 39 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 40 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 41 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 42 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 43 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 44 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 45 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 46 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 47 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 2
Game 48 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 49 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 50 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 51 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 52 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 53 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 54 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 55 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 56 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 57 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 58 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 59 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 60 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 61 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 62 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 63 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 64 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 65 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 66 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 67 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 68 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 69 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 70 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 71 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 72 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 73 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 74 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 75 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 76 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 77 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 78 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 79 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 80 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 81 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 82 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 83 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 84 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 85 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 86 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 87 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 88 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 89 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 90 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 2
Game 91 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 2
Game 92 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 2
Game 93 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 94 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 95 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 96 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 97 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 98 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 99 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 100 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 101 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 102 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 103 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 104 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 105 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 106 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 107 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 108 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 109 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 110 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 111 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 112 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 113 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 114 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 115 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 116 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 117 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 118 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 119 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 120 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 121 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 122 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 123 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
Game 124 | P1: 41 | P2: 0 | Moves: 13 | Time(ms): 1
