Game 1 | P1: 20 | P2: 46 | Moves: 54 | Time(ms): 5137
Game 2 | P1: 10 | P2: 56 | Moves: 14 | Time(ms): 851
Game 3 | P1: 15 | P2: 54 | Moves: 12 | Time(ms): 562
Game 4 | P1: 11 | P2: 46 | Moves: 8 | Time(ms): 430
Game 5 | P1: 1 | P2: 44 | Moves: 10 | Time(ms): 507
Game 6 | P1: 13 | P2: 47 | Moves: 26 | Time(ms): 1588
Game 7 | P1: 2 | P2: 61 | Moves: 14 | Time(ms): 506
Game 8 | P1: 0 | P2: 59 | Moves: 8 | Time(ms): 362
Game 9 | P1: 14 | P2: 42 | Moves: 8 | Time(ms): 262
Game 10 | P1: 6 | P2: 53 | Moves: 12 | Time(ms): 757
Game 11 | P1: 7 | P2: 48 | Moves: 12 | Time(ms): 695
Game 12 | P1: 4 | P2: 43 | Moves: 10 | Time(ms): 313
Game 13 | P1: 17 | P2: 41 | Moves: 32 | Time(ms): 2036
Game 14 | P1: 3 | P2: 59 | Moves: 16 | Time(ms): 689
Game 15 | P1: 6 | P2: 57 | Moves: 12 | Time(ms): 551
Game 16 | P1: 8 | P2: 55 | Moves: 12 | Time(ms): 441
Game 17 | P1: 6 | P2: 57 | Moves: 18 | Time(ms): 786
Game 18 | P1: 2 | P2: 68 | Moves: 12 | Time(ms): 205
Game 19 | P1: 30 | P2: 31 | Moves: 10 | Time(ms): 507
Game 20 | P1: 18 | P2: 44 | Moves: 16 | Time(ms): 1410
Game 21 | P1: 0 | P2: 70 | Moves: 6 | Time(ms): 132
Game 22 | P1: 16 | P2: 50 | Moves: 12 | Time(ms): 750
Game 23 | P1: 6 | P2: 53 | Moves: 10 | Time(ms): 616
Game 24 | P1: 3 | P2: 54 | Moves: 8 | Time(ms): 226
Game 25 | P1: 9 | P2: 45 | Moves: 36 | Time(ms): 3357
Game 26 | P1: 13 | P2: 47 | Moves: 34 | Time(ms): 2544
Game 27 | P1: 34 | P2: 32 | Moves: 12 | Time(ms): 845
Game 28 | P1: 9 | P2: 54 | Moves: 16 | Time(ms): 604
Game 29 | P1: 6 | P2: 64 | Moves: 12 | Time(ms): 1007
Game 30 | P1: 11 | P2: 52 | Moves: 16 | Time(ms): 932
Game 31 | P1: 9 | P2: 57 | Moves: 14 | Time(ms): 767
Game 32 | P1: 1 | P2: 60 | Moves: 12 | Time(ms): 625
Game 33 | P1: 33 | P2: 29 | Moves: 10 | Time(ms): 787
Game 34 | P1: 6 | P2: 64 | Moves: 8 | Time(ms): 357
Game 35 | P1: 43 | P2: 8 | Moves: 7 | Time(ms): 359
Game 36 | P1: 48 | P2: 13 | Moves: 11 | Time(ms): 790
Game 37 | P1: 18 | P2: 43 | Moves: 22 | Time(ms): 1830
Game 38 | P1: 10 | P2: 45 | Moves: 10 | Time(ms): 495
Game 39 | P1: 10 | P2: 54 | Moves: 12 | Time(ms): 584
Game 40 | P1: 16 | P2: 54 | Moves: 26 | Time(ms): 1528
Game 41 | P1: 6 | P2: 51 | Moves: 14 | Time(ms): 617
Game 42 | P1: 20 | P2: 45 | Moves: 22 | Time(ms): 1162
Game 43 | P1: 13 | P2: 45 | Moves: 12 | Time(ms): 948
Game 44 | P1: 10 | P2: 60 | Moves: 20 | Time(ms): 856
Game 45 | P1: 6 | P2: 64 | Moves: 12 | Time(ms): 659
Game 46 | P1: 1 | P2: 61 | Moves: 10 | Time(ms): 365
Game 47 | P1: 15 | P2: 41 | Moves: 10 | Time(ms): 463
Game 48 | P1: 9 | P2: 44 | Moves: 10 | Time(ms): 512
Game 49 | P1: 10 | P2: 42 | Moves: 12 | Time(ms): 622
Game 50 | P1: 11 | P2: 54 | Moves: 10 | Time(ms): 496
Game 51 | P1: 15 | P2: 52 | Moves: 10 | Time(ms): 364
Game 52 | P1: 22 | P2: 41 | Moves: 12 | Time(ms): 711
Game 53 | P1: 26 | P2: 39 | Moves: 20 | Time(ms): 1454
Game 54 | P1: 1 | P2: 55 | Moves: 10 | Time(ms): 472
