Game 1 | P1: 33 | P2: 35 | Moves: 56
Game 2 | P1: 19 | P2: 41 | Moves: 36
Game 3 | P1: 34 | P2: 33 | Moves: 128
Game 4 | P1: 44 | P2: 0 | Moves: 13
Game 5 | P1: 15 | P2: 41 | Moves: 12
Game 6 | P1: 41 | P2: 19 | Moves: 63
Game 7 | P1: 41 | P2: 19 | Moves: 17
Game 8 | P1: 14 | P2: 51 | Moves: 18
Game 9 | P1: 12 | P2: 48 | Moves: 16
Game 10 | P1: 27 | P2: 37 | Moves: 62
Game 11 | P1: 49 | P2: 13 | Moves: 13
Game 12 | P1: 41 | P2: 0 | Moves: 9
Game 13 | P1: 19 | P2: 41 | Moves: 68
Game 14 | P1: 53 | P2: 9 | Moves: 21
Game 15 | P1: 10 | P2: 52 | Moves: 18
Game 16 | P1: 41 | P2: 22 | Moves: 27
Game 17 | P1: 21 | P2: 49 | Moves: 120
Game 18 | P1: 19 | P2: 46 | Moves: 120
Game 19 | P1: 48 | P2: 15 | Moves: 41
Game 20 | P1: 4 | P2: 62 | Moves: 14
Game 21 | P1: 43 | P2: 22 | Moves: 169
Game 22 | P1: 17 | P2: 42 | Moves: 172
Game 23 | P1: 16 | P2: 43 | Moves: 62
Game 24 | P1: 7 | P2: 47 | Moves: 10
Game 25 | P1: 62 | P2: 1 | Moves: 19
Game 26 | P1: 33 | P2: 34 | Moves: 44
Game 27 | P1: 12 | P2: 49 | Moves: 24
Game 28 | P1: 42 | P2: 0 | Moves: 9
Game 29 | P1: 62 | P2: 4 | Moves: 21
Game 30 | P1: 23 | P2: 41 | Moves: 134
Game 31 | P1: 37 | P2: 27 | Moves: 20
Game 32 | P1: 14 | P2: 42 | Moves: 10
Game 33 | P1: 33 | P2: 17 | Moves: 11
Game 34 | P1: 36 | P2: 32 | Moves: 23
Game 35 | P1: 49 | P2: 11 | Moves: 19
Game 36 | P1: 41 | P2: 21 | Moves: 127
Game 37 | P1: 10 | P2: 44 | Moves: 14
Game 38 | P1: 6 | P2: 56 | Moves: 14
Game 39 | P1: 33 | P2: 30 | Moves: 63
Game 40 | P1: 39 | P2: 26 | Moves: 15
Game 41 | P1: 5 | P2: 4 | Moves: 10
Game 42 | P1: 53 | P2: 0 | Moves: 19
Game 43 | P1: 23 | P2: 40 | Moves: 90
Game 44 | P1: 14 | P2: 46 | Moves: 56
Game 45 | P1: 24 | P2: 41 | Moves: 122
Game 46 | P1: 44 | P2: 9 | Moves: 27
Game 47 | P1: 41 | P2: 19 | Moves: 19
Game 48 | P1: 33 | P2: 29 | Moves: 83
Game 49 | P1: 40 | P2: 26 | Moves: 39
Game 50 | P1: 45 | P2: 23 | Moves: 23
Game 51 | P1: 45 | P2: 25 | Moves: 51
Game 52 | P1: 43 | P2: 21 | Moves: 33
