Game 1 | P1: 18 | P2: 1 | Moves: 8 | Time(ms): 117
Game 2 | P1: 60 | P2: 10 | Moves: 9 | Time(ms): 106
Game 3 | P1: 63 | P2: 3 | Moves: 13 | Time(ms): 117
Game 4 | P1: 48 | P2: 0 | Moves: 9 | Time(ms): 148
Game 5 | P1: 58 | P2: 1 | Moves: 9 | Time(ms): 137
Game 6 | P1: 44 | P2: 2 | Moves: 19 | Time(ms): 190
Game 7 | P1: 33 | P2: 0 | Moves: 5 | Time(ms): 112
Game 8 | P1: 52 | P2: 0 | Moves: 13 | Time(ms): 210
Game 9 | P1: 33 | P2: 0 | Moves: 5 | Time(ms): 108
Game 10 | P1: 48 | P2: 5 | Moves: 11 | Time(ms): 206
Game 11 | P1: 41 | P2: 0 | Moves: 5 | Time(ms): 134
Game 12 | P1: 53 | P2: 1 | Moves: 13 | Time(ms): 168
Game 13 | P1: 57 | P2: 1 | Moves: 17 | Time(ms): 128
Game 14 | P1: 43 | P2: 6 | Moves: 9 | Time(ms): 113
Game 15 | P1: 49 | P2: 0 | Moves: 9 | Time(ms): 157
Game 16 | P1: 39 | P2: 0 | Moves: 9 | Time(ms): 138
Game 17 | P1: 41 | P2: 0 | Moves: 5 | Time(ms): 135
Game 18 | P1: 42 | P2: 11 | Moves: 13 | Time(ms): 178
Game 19 | P1: 46 | P2: 1 | Moves: 7 | Time(ms): 138
Game 20 | P1: 48 | P2: 4 | Moves: 11 | Time(ms): 148
Game 21 | P1: 52 | P2: 6 | Moves: 15 | Time(ms): 174
Game 22 | P1: 47 | P2: 0 | Moves: 9 | Time(ms): 156
Game 23 | P1: 45 | P2: 11 | Moves: 11 | Time(ms): 163
Game 24 | P1: 45 | P2: 0 | Moves: 11 | Time(ms): 185
Game 25 | P1: 43 | P2: 8 | Moves: 9 | Time(ms): 154
Game 26 | P1: 41 | P2: 0 | Moves: 5 | Time(ms): 131
Game 27 | P1: 33 | P2: 0 | Moves: 5 | Time(ms): 112
Game 28 | P1: 54 | P2: 9 | Moves: 9 | Time(ms): 112
Game 29 | P1: 46 | P2: 9 | Moves: 11 | Time(ms): 167
Game 30 | P1: 38 | P2: 0 | Moves: 10 | Time(ms): 171
Game 31 | P1: 47 | P2: 9 | Moves: 13 | Time(ms): 152
Game 32 | P1: 53 | P2: 4 | Moves: 11 | Time(ms): 142
Game 33 | P1: 56 | P2: 0 | Moves: 7 | Time(ms): 126
Game 34 | P1: 43 | P2: 0 | Moves: 13 | Time(ms): 194
Game 35 | P1: 47 | P2: 4 | Moves: 15 | Time(ms): 214
Game 36 | P1: 41 | P2: 0 | Moves: 5 | Time(ms): 135
Game 37 | P1: 57 | P2: 5 | Moves: 17 | Time(ms): 180
Game 38 | P1: 61 | P2: 3 | Moves: 23 | Time(ms): 133
Game 39 | P1: 56 | P2: 1 | Moves: 11 | Time(ms): 105
